Athlete,Team,Score,Remark,Form
SEAH Jun Xiang Dylan,SGP,8.7,1ST Prize,. Men's other Taijiquan Routines- Group B/C
LI Hao,HKG,8.63,1ST Prize,. Men's other Taijiquan Routines- Group B/C
WONG Kaden Dan,USA,8.62,1ST Prize,. Men's other Taijiquan Routines- Group B/C
TAN En Jie,SGP,8.58,1ST Prize,. Men's other Taijiquan Routines- Group B/C
MURENU Matteo,ITA,8.57,2ND Prize,. Men's other Taijiquan Routines- Group B/C
ZHANG Donghe,USA,8.55,2ND Prize,. Men's other Taijiquan Routines- Group B/C
ADAM AYMAN Morsi Aboelabbas,EGY,8.53,2ND Prize,. Men's other Taijiquan Routines- Group B/C
WONG Kadyn,USA,8.47,2ND Prize,. Men's other Taijiquan Routines- Group B/C
ZIAD AHMED Samy Mohamed,EGY,8.47,3RD Prize,. Men's other Taijiquan Routines- Group B/C
JOHN SAAD Amoun Mocus,EGY,8.47,3RD Prize,. Men's other Taijiquan Routines- Group B/C
JAYASUNDARA Pemitha Randes,LKA,8.36,3RD Prize,. Men's other Taijiquan Routines- Group B/C
KAMPS Darius,DEU,8.31,3RD Prize,. Men's other Taijiquan Routines- Group B/C
GRAD George Raul,ROU,8.2,3RD Prize,. Men's other Taijiquan Routines- Group B/C
YING Ruoxiang,CAN,8.14,3RD Prize,. Men's other Taijiquan Routines- Group B/C
KARUNANAYAKA MUDIYANSELAGE Anuja Chamod,LKA,8.12,,. Men's other Taijiquan Routines- Group B/C
GAJANAYAKA MUDALIGE Lakidu Himsara Gajanayaka,LKA,8.1,,. Men's other Taijiquan Routines- Group B/C
ROGOVEANU David,ROU,8.06,,. Men's other Taijiquan Routines- Group B/C
ROGOVEANU Dario,ROU,7.92,,. Men's other Taijiquan Routines- Group B/C
NGUYEN Khac Le Hoang,VNM,7.65,,. Men's other Taijiquan Routines- Group B/C
TEMIME Yazid,DZA,(DNS),,. Men's other Taijiquan Routines- Group B/C
ZHENG Zhichao,CHN,8.9,1ST Prize,. Men's Yang Style -Group D
LEUNG Yat Sing,HKG,8.69,2ND Prize,. Men's Yang Style -Group D
LOEIS Erick Citra,IDN,8.67,3RD Prize,. Men's Yang Style -Group D
JAYASEKARA MUDALIGE Hirusha Madushanka Jayasekara,LKA,8.51,3RD Prize,. Men's Yang Style -Group D
HOREJS Milan,CZE,8.5,,. Men's Yang Style -Group D
ZANINI Caio,BRA,8.41,,. Men's Yang Style -Group D
CALADO GUERREIRO Salvador,PRT,8.41,,. Men's Yang Style -Group D
YANG Xu,CHN,8.88,1ST Prize,. Men's Chen Style-Group D
SAT Pak Long,HKG,8.69,2ND Prize,. Men's Chen Style-Group D
CHUANG Tate Mathew,PHL,8.66,2ND Prize,. Men's Chen Style-Group D
LI Shaoyue,MAC,8.62,3RD Prize,. Men's Chen Style-Group D
HESHAM NABIL Abdelnabi Mohamed,EGY,8.6,3RD Prize,. Men's Chen Style-Group D
SANT'ANNA LIMA DE ALMEIDA Gabriel Guarino,BRA,8.55,3RD Prize,. Men's Chen Style-Group D
BARICA Florin Alexandru,ROU,8.55,,. Men's Chen Style-Group D
BISONI Gianluigi,ITA,8.52,,. Men's Chen Style-Group D
NUÑEZ ALARCON Rafael Ignacio,CHL,8.43,,. Men's Chen Style-Group D
NOVOTNY Lukas,CZE,8.37,,. Men's Chen Style-Group D
OUIDIR Lahcen,DZA,(DNS),,. Men's Chen Style-Group D
YEUNG Chung Hei,HKG,8.7,1ST Prize,. Men's Other Taijiquan Routines-Group D
LIN Sanzhe,FRA,8.65,2ND Prize,. Men's Other Taijiquan Routines-Group D
TRAN Phan Anh Tuan,VNM,8.61,3RD Prize,. Men's Other Taijiquan Routines-Group D
BRAYTON Mason Tsan-Ming,USA,8.59,3RD Prize,. Men's Other Taijiquan Routines-Group D
JANSEN Kai Frank,DEU,8.47,,. Men's Other Taijiquan Routines-Group D
FERREIRA PENSE William,BRA,8.44,,. Men's Other Taijiquan Routines-Group D
SIMON GARCIA Mario,ESP,8.41,,. Men's Other Taijiquan Routines-Group D
ZHANG Qianqiu,CHN,8.8,1ST Prize,. Men's Chen Style-Group E
ZHANG Cheng,USA,8.75,1ST Prize,. Men's Chen Style-Group E
KANG Hongbin,CHN,8.72,2ND Prize,. Men's Chen Style-Group E
FU Nengbin,CHN,8.72,2ND Prize,. Men's Chen Style-Group E
LIM Che How,SGP,8.7,2ND Prize,. Men's Chen Style-Group E
ZHOU Xu,CAN,8.68,3RD Prize,. Men's Chen Style-Group E
SLAMKA Michal,SVK,8.54,3RD Prize,. Men's Chen Style-Group E
SUMBULASHVILI Lasha,GEO,8.53,3RD Prize,. Men's Chen Style-Group E
MIHAILA Claudiu,ROU,8.52,3RD Prize,. Men's Chen Style-Group E
VLASENKO Romans,LVA,8.52,3RD Prize,. Men's Chen Style-Group E
1STAMATOPOULOS Grigorios,GRC,8.51,,. Men's Chen Style-Group E
BERRY Brett James,ZAF,8.5,,. Men's Chen Style-Group E
HAUSKA Jiri,CZE,8.47,,. Men's Chen Style-Group E
PANAGIOTAKIS Dimitrios,GRC,8.3,,. Men's Chen Style-Group E
WEERASINGHE Jagath Kumara,LKA,8.24,,. Men's Chen Style-Group E
HU Liqing,CHN,8.71,1ST Prize,. Men's Other Taijiquan Routines-Group E
YAN Haichun,CHN,8.66,2ND Prize,. Men's Other Taijiquan Routines-Group E
TIAN Chunyang,MAC,8.59,2ND Prize,. Men's Other Taijiquan Routines-Group E
TAY Ah Huat,SGP,8.57,3RD Prize,. Men's Other Taijiquan Routines-Group E
BROWN Mitchell Alexander Leon,AUS,8.55,3RD Prize,. Men's Other Taijiquan Routines-Group E
DYBICZ Tomasz Jacek,POL,8.52,3RD Prize,. Men's Other Taijiquan Routines-Group E
HERATH MUDIYANSELAGE Ananda Kumara,LKA,8.5,,. Men's Other Taijiquan Routines-Group E
ORICCHIO Alexandre Maximilien Marc,CHE,8.5,,. Men's Other Taijiquan Routines-Group E
CORONA AGUILAR Daniel Benjamin,MEX,8.49,,. Men's Other Taijiquan Routines-Group E
LOPEZ MORENO Raul,ESP,8.45,,. Men's Other Taijiquan Routines-Group E
NIKISINS Aleksejs,LVA,8.42,,. Men's Other Taijiquan Routines-Group E
AIT-ZERROUK Karim,DZA,(DNS),,. Men's Other Taijiquan Routines-Group E
LON Weng Kam,MAC,8.63,1ST Prize,. Men's Other Taijiquan Routines-Group F
MOHAMMED Ahmad Faizal,SGP,8.58,1ST Prize,. Men's Other Taijiquan Routines-Group F
WU Shao Jie,AUS,8.51,2ND Prize,. Men's Other Taijiquan Routines-Group F
NIÑO ORTEGA Eloy Alberto,ESP,8.51,2ND Prize,. Men's Other Taijiquan Routines-Group F
CHAN Han Yeh,AUS,8.5,3RD Prize,. Men's Other Taijiquan Routines-Group F
LO Wing Kit Albert,AUS,8.5,3RD Prize,. Men's Other Taijiquan Routines-Group F
KARDOS Gabor,HUN,8.46,,. Men's Other Taijiquan Routines-Group F
LEHMANN Nicholas Du?,USA,8.44,,. Men's Other Taijiquan Routines-Group F
WONG Yu Wen,MYS,8.74,1ST Prize,. Men's Dao (Broadsword)-Group D
DONG Xinyu,SGP,8.71,1ST Prize,. Men's Dao (Broadsword)-Group D
CHENG Kei Win,SGP,8.69,1ST Prize,. Men's Dao (Broadsword)-Group D
LIRA LUNA Javier Arturo,MEX,8.67,2ND Prize,. Men's Dao (Broadsword)-Group D
TABAROV Fotekh,TJK,8.64,2ND Prize,. Men's Dao (Broadsword)-Group D
YERITSYAN Gevorg,ARM,8.62,2ND Prize,. Men's Dao (Broadsword)-Group D
MASCHERPE CUELBAS Joao Pedro,BRA,8.62,2ND Prize,. Men's Dao (Broadsword)-Group D
CAO Shuai,CHN,8.61,2ND Prize,. Men's Dao (Broadsword)-Group D
MANABE Katsumi Derek,USA,8.61,3RD Prize,. Men's Dao (Broadsword)-Group D
LEZAMA LUCERO Luis Antonio,MEX,8.6,3RD Prize,. Men's Dao (Broadsword)-Group D
Devante DARNELL-HAZLE,GBR,8.6,3RD Prize,. Men's Dao (Broadsword)-Group D
NITAS Kevin Janos,HUN,8.6,3RD Prize,. Men's Dao (Broadsword)-Group D
BERRY Adam James,ZAF,8.56,3RD Prize,. Men's Dao (Broadsword)-Group D
GOMEZ RODRIGUEZ Angel Julian,MEX,8.55,3RD Prize,. Men's Dao (Broadsword)-Group D
BELLOUMI Jihed,TUN,8.53,3RD Prize,. Men's Dao (Broadsword)-Group D
TIBIRIÇÁ BATATA Victor Matheus,BRA,8.53,3RD Prize,. Men's Dao (Broadsword)-Group D
KAZUO GONÇALVES MIYASAKA KauãN,BRA,8.52,,. Men's Dao (Broadsword)-Group D
Brandon Lee SANDALLS,GBR,8.52,,. Men's Dao (Broadsword)-Group D
LAMPADAS Konstantinos,GRC,8.5,,. Men's Dao (Broadsword)-Group D
VERHEYEN Jonathan,BEL,8.48,,. Men's Dao (Broadsword)-Group D
DZIECIELSKI Jakub,POL,8.46,,. Men's Dao (Broadsword)-Group D
PETOCZ Levente,HUN,8.46,,. Men's Dao (Broadsword)-Group D
GKOUMAS Anastasios,GRC,8.41,,. Men's Dao (Broadsword)-Group D
YANG Yalin,CHN,8.25,,. Men's Dao (Broadsword)-Group D
MONYAMA Maile Elvis,ZAF,8.2,,. Men's Dao (Broadsword)-Group D
MOHAMMAD SHUAIB Ayubi,AFG,(DNS),,. Men's Dao (Broadsword)-Group D
Mame Birane KANE,SEN,(DNS),,. Men's Dao (Broadsword)-Group D
DE ALMEIDA COSTA Cleu,BRA,8.73,1ST Prize,. Men's Guandao (Kwan Dao)- Group D
NITAS Laszló Oliver,HUN,8.68,2ND Prize,. Men's Guandao (Kwan Dao)- Group D
GULISASHVILI David,GEO,8.68,2ND Prize,. Men's Guandao (Kwan Dao)- Group D
KROETZ Benjamin Fritz Ludwig,DEU,8.64,2ND Prize,. Men's Guandao (Kwan Dao)- Group D
ROUCKA Michal,CZE,8.57,3RD Prize,. Men's Guandao (Kwan Dao)- Group D
SIRTO Alessandro,ITA,8.55,3RD Prize,. Men's Guandao (Kwan Dao)- Group D
YANG Xinhua,CHN,8.55,3RD Prize,. Men's Guandao (Kwan Dao)- Group D
KALUARACHCHI Devin Tharunuwan,SGP,8.54,3RD Prize,. Men's Guandao (Kwan Dao)- Group D
SHAIK Aman Pasha,IND,8.45,,. Men's Guandao (Kwan Dao)- Group D
MO Don Hao,USA,8.44,,. Men's Guandao (Kwan Dao)- Group D
GIL ALONSO Marcos,ESP,8.43,,. Men's Guandao (Kwan Dao)- Group D
ULLAH Mohammad Wahid,USA,8.37,,. Men's Guandao (Kwan Dao)- Group D
HUSSAIN Saddam,IND,8.14,,. Men's Guandao (Kwan Dao)- Group D
GAO Sen,BOL,7.94,,. Men's Guandao (Kwan Dao)- Group D
BOUTOUBANE Yassine,DZA,(DNS),,. Men's Guandao (Kwan Dao)- Group D
SIRTO Elisabetta,ITA,(DNS),,. Men's Guandao (Kwan Dao)- Group D
CHAN Tsz Sa,HKG,8.67,1ST Prize,. Women's Other Taijiquan Routines-Group B/C
BRAYTON Mariella Tsan-Ling,USA,8.65,1ST Prize,. Women's Other Taijiquan Routines-Group B/C
MAQUILAN Alessandra May,PHL,8.63,2ND Prize,. Women's Other Taijiquan Routines-Group B/C
POINT Flora,FRA,8.62,2ND Prize,. Women's Other Taijiquan Routines-Group B/C
ELLIE SHERIF Magdy Eskander,EGY,8.6,3RD Prize,. Women's Other Taijiquan Routines-Group B/C
SHAW Phylicia Boxi,USA,8.55,3RD Prize,. Women's Other Taijiquan Routines-Group B/C
PARADIUK Vanessa Weronika,POL,8.51,3RD Prize,. Women's Other Taijiquan Routines-Group B/C
KONG Yean Thong,MYS,8.4,,. Women's Other Taijiquan Routines-Group B/C
TECI Alexandra Jasmine,ROU,8.35,,. Women's Other Taijiquan Routines-Group B/C
ILIE So?a Maria,ROU,8.29,,. Women's Other Taijiquan Routines-Group B/C
JIN Yinuo,CAN,8.25,,. Women's Other Taijiquan Routines-Group B/C
COKHAMUR Ecrin,TUR,(DNS),,. Women's Other Taijiquan Routines-Group B/C
ANNIS Beatrice,ITA,8.57,2ND Prize,. Women's Chen Style- Group C
LABONI YONG Poi Qa,MYS,8.52,3RD Prize,. Women's Chen Style- Group C
JASLYN TAN Yu Ching,MYS,8.5,,. Women's Chen Style- Group C
MENDIS AMARASEKERA Samadhee Prathibha,LKA,8.4,,. Women's Chen Style- Group C
KOLISNYK Mariia,UKR,(DNS),,. Women's Chen Style- Group C
KUZEMBAY Aiymzhan,KAZ,8.47,1ST Prize,. Women's Yang Style-Group C
BELEAN Oana Vasilica,ROU,8.43,2ND Prize,. Women's Yang Style-Group C
LEE MO LIN Estelle Shannon Lian Chu,MUS,8.37,3RD Prize,. Women's Yang Style-Group C
CHONG CHAP SIN Marie Kim Lan,MUS,8.35,3RD Prize,. Women's Yang Style-Group C
SOWARUTH Dishita,MUS,8.33,,. Women's Yang Style-Group C
TAY Kai Xin Ranice,SGP,8.75,1ST Prize,. Women's Chen Style-Group D
WAI Pui Cheng,MAC,8.71,2ND Prize,. Women's Chen Style-Group D
KUBIAK Anna Maria,POL,8.68,3RD Prize,. Women's Chen Style-Group D
CHIKHLADZE Nino,GEO,8.63,3RD Prize,. Women's Chen Style-Group D
FOSSA Enrica,ITA,8.6,,. Women's Chen Style-Group D
TEMIME Kahina,DZA,(DNS),,. Women's Chen Style-Group D
YAN Ningning,CHN,8.79,1ST Prize,. Women's Yang Style-Group D
AU-YEUNG Pui Yue,HKG,8.76,2ND Prize,. Women's Yang Style-Group D
IVANOVA Oryna,UKR,8.75,2ND Prize,. Women's Yang Style-Group D
YEUNG Debbie,HKG,8.73,3RD Prize,. Women's Yang Style-Group D
ANASTASIU Denisa Ruxandra,ROU,8.71,3RD Prize,. Women's Yang Style-Group D
HUNG Si Fan,MAC,8.59,3RD Prize,. Women's Yang Style-Group D
SHARMA Abhigya,IND,8.53,,. Women's Yang Style-Group D
NIÑO GONZALEZ Alba,ESP,8.49,,. Women's Yang Style-Group D
WONG KAM LAN Jessica Rachel,MUS,8.46,,. Women's Yang Style-Group D
PAN Qiaoshan,CHN,8.92,1ST Prize,. Women's Other Taijiquan Routines-Group D
LI Na,CHN,8.9,2ND Prize,. Women's Other Taijiquan Routines-Group D
WANG Shiyu,CHN,8.8,2ND Prize,. Women's Other Taijiquan Routines-Group D
ROMERO Shaman,FRA,8.64,3RD Prize,. Women's Other Taijiquan Routines-Group D
VALENTIM UEMOTO Katemann Akemi,BRA,8.59,3RD Prize,. Women's Other Taijiquan Routines-Group D
PAVAN Beatriz Danielle,BRA,8.57,3RD Prize,. Women's Other Taijiquan Routines-Group D
GRINDEANU Sonia,ROU,8.47,,. Women's Other Taijiquan Routines-Group D
SAFRONOVA Jekaterina,LVA,8.45,,. Women's Other Taijiquan Routines-Group D
HEIDTMANN Anna Paulina,DEU,7.47,,. Women's Other Taijiquan Routines-Group D
MOHAND SAIDI Katia,DZA,(DNS),,. Women's Other Taijiquan Routines-Group D
GABESKIRIA Maka,GEO,8.68,1ST Prize,. Women's Chen Style-Group E
CHAO Haiya,CHN,8.65,2ND Prize,. Women's Chen Style-Group E
NG Chiew Yen,SGP,8.64,3RD Prize,. Women's Chen Style-Group E
ROVIRA-ALVAREZ Nelly Esther,USA,8.61,3RD Prize,. Women's Chen Style-Group E
1STANKOVA Marketa,CZE,8.57,,. Women's Chen Style-Group E
CHRYSOSTOMOU Daniela,ZAF,8.53,,. Women's Chen Style-Group E
KLEJCHOVÁ Michaela,SVK,8.51,,. Women's Chen Style-Group E
ENDO Tamami,JPN,8.67,1ST Prize,. Women's Other Taijiquan Routines-Group E
WANG Zhong,CHN,8.65,2ND Prize,. Women's Other Taijiquan Routines-Group E
OKUBO Tomomi,JPN,8.58,2ND Prize,. Women's Other Taijiquan Routines-Group E
TRAN CONG Francine,FRA,8.51,3RD Prize,. Women's Other Taijiquan Routines-Group E
PHAM Thi Huong,VNM,8.5,3RD Prize,. Women's Other Taijiquan Routines-Group E
ZHIGALKINA Tatyana,KAZ,8.5,3RD Prize,. Women's Other Taijiquan Routines-Group E
ZHU-HIPTMAIR Guirong,CHE,8.48,,. Women's Other Taijiquan Routines-Group E
YANG Lili,USA,8.47,,. Women's Other Taijiquan Routines-Group E
UEDA Mikiko,JPN,8.43,,. Women's Other Taijiquan Routines-Group E
PINEDO SORUCO Cecilia Esperanza,BOL,8.24,,. Women's Other Taijiquan Routines-Group E
GUEDES Marta Denise,BRA,(DNS),,. Women's Other Taijiquan Routines-Group E
CHEONG Lao Leng,MAC,8.8,1ST Prize,. Women's Other Taijiquan Routines-Group F
HAYASHI Kyoko,JPN,8.75,1ST Prize,. Women's Other Taijiquan Routines-Group F
PAVLENKO Elena,KGZ,8.66,2ND Prize,. Women's Other Taijiquan Routines-Group F
DE SALES SOARES DE MELO Cristina,PRT,8.62,2ND Prize,. Women's Other Taijiquan Routines-Group F
HO Lai Sim,MAC,8.6,3RD Prize,. Women's Other Taijiquan Routines-Group F
ZASLAWSKI Louise Edna Anne,AUS,8.52,3RD Prize,. Women's Other Taijiquan Routines-Group F
DINH Thi Thuy Lan,VNM,8.49,3RD Prize,. Women's Other Taijiquan Routines-Group F
SIN Shuet Yee,AUS,8.48,,. Women's Other Taijiquan Routines-Group F
YE Kanglian,DEU,8.45,,. Women's Other Taijiquan Routines-Group F
MC CARDLE Candace Jane,ZAF,8.43,,. Women's Other Taijiquan Routines-Group F
KHOO Cheng Choo,AUS,8.35,,. Women's Other Taijiquan Routines-Group F
CHAN I Lo,MAC,(DNS),,. Women's Other Taijiquan Routines-Group F
GARCIA MAZUECOS Francisco,ESP,8.8,1ST Prize,. Men's Gun (Cudgel/Sta?) -Group D
BABENKO Alexey,KAZ,8.75,1ST Prize,. Men's Gun (Cudgel/Sta?) -Group D
SINGH Lokender,IND,8.72,2ND Prize,. Men's Gun (Cudgel/Sta?) -Group D
SZATAI Zoltan,HUN,8.71,2ND Prize,. Men's Gun (Cudgel/Sta?) -Group D
DA SILVA CAPELAZZO Anthony,BRA,8.66,2ND Prize,. Men's Gun (Cudgel/Sta?) -Group D
KHURSHEDZODA Mirzodalerkhon,TJK,8.66,2ND Prize,. Men's Gun (Cudgel/Sta?) -Group D
MURSZEWSKI Maksymilian Grzegorz,POL,8.65,2ND Prize,. Men's Gun (Cudgel/Sta?) -Group D
BARICA Florin Alexandru,ROU,8.63,3RD Prize,. Men's Gun (Cudgel/Sta?) -Group D
ESSID Ahmed,TUN,8.61,3RD Prize,. Men's Gun (Cudgel/Sta?) -Group D
SANCHEZ ROCHA Hugo Aurelio,MEX,8.6,3RD Prize,. Men's Gun (Cudgel/Sta?) -Group D
YUEN Kam Weng,MAC,8.59,3RD Prize,. Men's Gun (Cudgel/Sta?) -Group D
KUKARI Bonham Jayden Jimmy,ZAF,8.58,3RD Prize,. Men's Gun (Cudgel/Sta?) -Group D
BORGES COUTINHO GALLO Iuri,BRA,8.57,3RD Prize,. Men's Gun (Cudgel/Sta?) -Group D
Daniel John Joseph SHAW-ABULAFIA,GBR,8.55,3RD Prize,. Men's Gun (Cudgel/Sta?) -Group D
MIRATSKY Jakub,CZE,8.53,,. Men's Gun (Cudgel/Sta?) -Group D
KESKIN Ahmet Taha,TUR,8.52,,. Men's Gun (Cudgel/Sta?) -Group D
MOUSTAFA MOUSTAFA Abbas Abbas,EGY,8.5,,. Men's Gun (Cudgel/Sta?) -Group D
WILCZY?SKI Maciej Bart?Omiej,POL,8.49,,. Men's Gun (Cudgel/Sta?) -Group D
GU Nicolas,FRA,8.48,,. Men's Gun (Cudgel/Sta?) -Group D
JALI Khayelihle Goodenough,ZAF,8.47,,. Men's Gun (Cudgel/Sta?) -Group D
TOMÁS BARROSO Tiago,PRT,8.46,,. Men's Gun (Cudgel/Sta?) -Group D
THENNAKOON MUDIYANSELAGE Avishka Prasad Thennakoon,LKA,8.45,,. Men's Gun (Cudgel/Sta?) -Group D
HASIEGANU Victor,ROU,8.42,,. Men's Gun (Cudgel/Sta?) -Group D
PAW?OWICZ Mateusz Robert,POL,8.41,,. Men's Gun (Cudgel/Sta?) -Group D
MURADYAN Aram,ARM,(DNS),,. Men's Gun (Cudgel/Sta?) -Group D
YANG Zhiwei,CHN,8.9,1ST Prize,. Men's Jian (Straight Sword)-Group D
ZVIRIN Jonathan,ISR,8.7,1ST Prize,. Men's Jian (Straight Sword)-Group D
TRAIZE Arstan,KAZ,8.67,2ND Prize,. Men's Jian (Straight Sword)-Group D
BRAYTON Mason Tsan-Ming,USA,8.66,2ND Prize,. Men's Jian (Straight Sword)-Group D
YALKIN Osman,TUR,8.6,2ND Prize,. Men's Jian (Straight Sword)-Group D
GAMBINO Michele,ITA,8.59,3RD Prize,. Men's Jian (Straight Sword)-Group D
ZEDDA Ivo,ITA,8.56,3RD Prize,. Men's Jian (Straight Sword)-Group D
DI BENEDETTO Claudio,ITA,8.55,3RD Prize,. Men's Jian (Straight Sword)-Group D
ZHANG Alex Mushan,USA,8.53,3RD Prize,. Men's Jian (Straight Sword)-Group D
GORSKIS Aleksandrs,LVA,8.51,3RD Prize,. Men's Jian (Straight Sword)-Group D
MOREIRA DE ARAÚJO Fabio,BRA,8.49,,. Men's Jian (Straight Sword)-Group D
CORREA IXTEPAN Diego Armando,MEX,8.49,,. Men's Jian (Straight Sword)-Group D
Cam'Ron Yiu Fung TSANG,GBR,8.48,,. Men's Jian (Straight Sword)-Group D
AYDINYAN Aram,ARM,8.46,,. Men's Jian (Straight Sword)-Group D
FLORES PACHECO Jonathan Eber,MEX,8.45,,. Men's Jian (Straight Sword)-Group D
BEROUTSOS Charalampos,GRC,8.44,,. Men's Jian (Straight Sword)-Group D
OUIDIR Lahcen,DZA,(DNS),,. Men's Jian (Straight Sword)-Group D
JANSEN Kai Frank,DEU,(DNS),,. Men's Jian (Straight Sword)-Group D
YANG Fuhua,CHN,9.05,1ST Prize,. Men's Nandao (Southern Broadsword)-Group D
LOW Shun Quan Benette,SGP,8.95,2ND Prize,. Men's Nandao (Southern Broadsword)-Group D
CARELLA Nelso Cesar,ARG,8.87,3RD Prize,. Men's Nandao (Southern Broadsword)-Group D
NGAN Lok Man,HKG,8.82,3RD Prize,. Men's Nandao (Southern Broadsword)-Group D
NURMATOV Sherzod,TJK,8.67,,. Men's Nandao (Southern Broadsword)-Group D
ABDULLO-ZODA Fayzullo,TJK,8.5,,. Men's Nandao (Southern Broadsword)-Group D
Thierno DIBA,SEN,(DNS),,. Men's Nandao (Southern Broadsword)-Group D
MAK Sherman Shu Hang,AUS,8.66,1ST Prize,. Men's Dao (Broadsword)-Group E
AVAGYAN Artashes,ARM,8.59,2ND Prize,. Men's Dao (Broadsword)-Group E
TAVARES DE ALMEIDA Sergio,PRT,8.56,3RD Prize,. Men's Dao (Broadsword)-Group E
ZERVAS Chrisovalantis,GRC,8.54,3RD Prize,. Men's Dao (Broadsword)-Group E
KRIGGER DOS SANTOS Rodrigo,BRA,8.51,,. Men's Dao (Broadsword)-Group E
COLACO DAVID Daniel Goncalo,PRT,8.5,,. Men's Dao (Broadsword)-Group E
ALMEIDA DA SILVA Evandro,BRA,8.49,,. Men's Dao (Broadsword)-Group E
LAMPADAS Theodoros,GRC,(DNS),,. Men's Dao (Broadsword)-Group E
CHEN Zhigang,CHN,8.73,1ST Prize,. Men's Other Single-Weapon Routines-Group E
ZHENG Wu,CHN,8.72,1ST Prize,. Men's Other Single-Weapon Routines-Group E
ROMERO Hrod,FRA,8.71,2ND Prize,. Men's Other Single-Weapon Routines-Group E
TIAN Hongwei,CHN,8.69,2ND Prize,. Men's Other Single-Weapon Routines-Group E
KANG Hongbin,CHN,8.64,2ND Prize,. Men's Other Single-Weapon Routines-Group E
OCHI Kenta,JPN,8.62,2ND Prize,. Men's Other Single-Weapon Routines-Group E
MINORU TANOSHI SéRgio,BRA,8.62,3RD Prize,. Men's Other Single-Weapon Routines-Group E
CHUCHOLOWSKI Frederic Emanuel,DEU,8.6,3RD Prize,. Men's Other Single-Weapon Routines-Group E
DIMANFA BONGIANNI Marcos,BRA,8.56,3RD Prize,. Men's Other Single-Weapon Routines-Group E
OLIVEIRA SANTOS Italo Jorge,BRA,8.56,3RD Prize,. Men's Other Single-Weapon Routines-Group E
SIRTO Edoardo Francesco Maria,ITA,8.55,3RD Prize,. Men's Other Single-Weapon Routines-Group E
JACOBS Bernard Paul,ZAF,8.54,3RD Prize,. Men's Other Single-Weapon Routines-Group E
ESCALANTE PEINADO Ivan Alberto,MEX,8.54,,. Men's Other Single-Weapon Routines-Group E
PANAGOPOULOS Christos,GRC,8.52,,. Men's Other Single-Weapon Routines-Group E
CORONA AGUILAR Daniel Benjamin,MEX,8.52,,. Men's Other Single-Weapon Routines-Group E
MAKRIS Athanasios,GRC,8.51,,. Men's Other Single-Weapon Routines-Group E
NG Chester Tse King,USA,8.49,,. Men's Other Single-Weapon Routines-Group E
VAN DER MESCHT Thor,ZAF,8.46,,. Men's Other Single-Weapon Routines-Group E
CHOO Hing How,MYS,8.43,,. Men's Other Single-Weapon Routines-Group E
PAPACHARALAMPOUS Vasileios,GRC,8.37,,. Men's Other Single-Weapon Routines-Group E
HERCZEG Andras,HUN,8.35,,. Men's Other Single-Weapon Routines-Group E
1STAMATOPOULOS Grigorios,GRC,(DNS),,. Men's Other Single-Weapon Routines-Group E
Boubacar SAMBOU,SEN,(DNS),,. Men's Other Single-Weapon Routines-Group E
SHI Xiaolong,CHN,8.99,1ST Prize,. Men's Bajiquan-Group D
KWOK Kwan Ho,HKG,8.77,2ND Prize,. Men's Bajiquan-Group D
YUEN Kam Weng,MAC,8.75,2ND Prize,. Men's Bajiquan-Group D
YERITSYAN Gevorg,ARM,8.73,3RD Prize,. Men's Bajiquan-Group D
KRYSKO Viacheslav,UKR,8.7,3RD Prize,. Men's Bajiquan-Group D
KALUARACHCHI Devin Tharunuwan,SGP,8.65,3RD Prize,. Men's Bajiquan-Group D
SHEN Aspen Ziyang,USA,8.61,,. Men's Bajiquan-Group D
GONZALEZ MARMOLEJO Luis Arturo,MEX,8.57,,. Men's Bajiquan-Group D
ZEDDA Ivo,ITA,8.52,,. Men's Bajiquan-Group D
THENNAKOON MUDIYANSELAGE Avishka Prasad Thennakoon,LKA,8.46,,. Men's Bajiquan-Group D
SIGMON Kirk Allen,USA,8.43,,. Men's Bajiquan-Group D
MURADYAN Aram,ARM,(DNS),,. Men's Bajiquan-Group D
YANG Yalin,CHN,9.1,1ST Prize,. Men's Chaquan-Group D
ZHARUN Maksym,UKR,9,2ND Prize,. Men's Chaquan-Group D
HO Yin Ching,HKG,8.95,2ND Prize,. Men's Chaquan-Group D
DONG Xinyu,SGP,8.74,3RD Prize,. Men's Chaquan-Group D
ZVIRIN Jonathan,ISR,8.73,3RD Prize,. Men's Chaquan-Group D
ZHANG Alex Mushan,USA,8.66,3RD Prize,. Men's Chaquan-Group D
HATALA Patrik,SVK,8.56,3RD Prize,. Men's Chaquan-Group D
ZAMOLO Giuliano Isa,ROU,8.55,,. Men's Chaquan-Group D
ROUCKA Michal,CZE,8.54,,. Men's Chaquan-Group D
YALKIN Osman,TUR,8.52,,. Men's Chaquan-Group D
DAVNAM Parth,IND,8.46,,. Men's Chaquan-Group D
HUSSAIN Saddam,IND,8.4,,. Men's Chaquan-Group D
WANG Qianlong,CHN,8.89,1ST Prize,. Men's Fanziquan-Group D
YANG Zhiwei,CHN,8.88,2ND Prize,. Men's Fanziquan-Group D
CHEN Jinsong,HKG,8.83,3RD Prize,. Men's Fanziquan-Group D
GULISASHVILI David,GEO,8.65,3RD Prize,. Men's Fanziquan-Group D
BARTOŠ Filip,SVK,8.58,,. Men's Fanziquan-Group D
