"","X","Team","Athlete","Score","Sex","Group","Form"
"604",604,"MAS","Qing Hao MAH",8.56,"M","Group D","Jiu Jie Bian (Nine Section Whip Chain)"
"605",605,"MAS","Yew Meng ONG",9.12,"M","Group D","Nan Dao (Southern Broadsword)"
"606",606,"HKG","James Lawrence YUEN",9,"M","Group D","Nan Dao (Southern Broadsword)"
"607",607,"RUS","Artem ALTYSHEV",8.99,"M","Group D","Nan Dao (Southern Broadsword)"
"608",608,"AFG","Ebram JAMSHID",8.99,"M","Group D","Nan Dao (Southern Broadsword)"
"609",609,"RUS","Aleksandr EMELIANENKO",8.91,"M","Group D","Nan Dao (Southern Broadsword)"
"610",610,"KAZ","Gali DAULETZHAN",8.9,"M","Group D","Nan Dao (Southern Broadsword)"
"611",611,"INA","Iwanto IWANTO",8.8,"M","Group D","Nan Dao (Southern Broadsword)"
"612",612,"COL","William Andres MOLANO ANDRADE",8.75,"M","Group D","Nan Dao (Southern Broadsword)"
"613",613,"ROU","Mihai IOANA",8.75,"M","Group D","Nan Dao (Southern Broadsword)"
"614",614,"CZE","Karel KRAL",8.73,"M","Group D","Nan Dao (Southern Broadsword)"
"615",615,"AUS","Jake LACEY",8.66,"M","Group D","Nan Dao (Southern Broadsword)"
"616",616,"ALG","Smaimi ABDELAALI",NA,"M","Group D","Nan Dao (Southern Broadsword)"
"617",617,"CHN","Jia Chou CHEN",9.24,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"618",618,"RUS","Igor MOROZ",9.19,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"619",619,"HKG","Yuanpeng ZHU",9.15,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"620",620,"SRI","Jeewan Maduranga PAYAGALAGE",8.99,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"621",621,"SRI","Viraj Denuka Chathuranga WICKRAMASINGHE MUDIYANSELAGE",8.97,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"622",622,"TUR","Mustafa Bedirhan CAPOGLU",8.93,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"623",623,"CZE","Jaroslav KEKRT",8.89,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"624",624,"RUS","Andrei NIKITIN",8.86,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"625",625,"PER","Ernesto Mauricio ORTIZ GOMEZ",8.85,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"626",626,"CZE","Kamil KANINSKY",8.82,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"627",627,"AUS","Kevin KOU",8.76,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"628",628,"SVK","Igor SAKALA",8.75,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"629",629,"AUS","Sean CHEN",8.73,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"630",630,"CZE","Jakub MIRATSKY",8.72,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"631",631,"SRI","Sanka Madhura KEKUNAWELA WEERATHUNGAGE",8.71,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"632",632,"USA","Srinivas Brinda BALAGOPAL",8.66,"M","Group D","Nan Gun (Southern Staff/Cudgel)"
"633",633,"TPE","Ting Han LIN",9.05,"M","Group D","Other Southern Styles Nanquan"
"634",634,"RUS","Artem ALTYSHEV",9.02,"M","Group D","Other Southern Styles Nanquan"
"635",635,"AFG","Ebram JAMSHID",8.99,"M","Group D","Other Southern Styles Nanquan"
"636",636,"POL","Tomasz BILUT",8.93,"M","Group D","Other Southern Styles Nanquan"
"637",637,"SGP","Yap Wei Sheng Wilson YAP",8.86,"M","Group D","Other Southern Styles Nanquan"
"638",638,"BRA","Iuri BORGES COUTINHO GALLO",8.85,"M","Group D","Other Southern Styles Nanquan"
"639",639,"SRI","Viraj Denuka Chathuranga WICKRAMASINGHE MUDIYANSELAGE",8.85,"M","Group D","Other Southern Styles Nanquan"
"640",640,"SRI","Jeewan Maduranga PAYAGALAGE",8.82,"M","Group D","Other Southern Styles Nanquan"
"641",641,"SRI","Sanka Madhura KEKUNAWELA WEERATHUNGAGE",8.82,"M","Group D","Other Southern Styles Nanquan"
"642",642,"BRA","Miguel DE OLIVEIRA MANACERO",8.8,"M","Group D","Other Southern Styles Nanquan"
"643",643,"SGP","Ng Shao Yuan Alphonsius NG",8.8,"M","Group D","Other Southern Styles Nanquan"
"644",644,"GRE","Georgios POULIAS",8.8,"M","Group D","Other Southern Styles Nanquan"
"645",645,"TUR","Mustafa Bedirhan CAPOGLU",8.79,"M","Group D","Other Southern Styles Nanquan"
"646",646,"ROU","Marius-andrei IOANA",8.78,"M","Group D","Other Southern Styles Nanquan"
"647",647,"AUS","Jake LACEY",8.78,"M","Group D","Other Southern Styles Nanquan"
"648",648,"INA","Iwanto IWANTO",8.76,"M","Group D","Other Southern Styles Nanquan"
"649",649,"ROU","David Stefan PETA",8.72,"M","Group D","Other Southern Styles Nanquan"
"650",650,"FRA","Raphael MAURICE",8.65,"M","Group D","Other Southern Styles Nanquan"
"651",651,"RUS","Vasilii KISLITCYN",9.08,"M","Group D","Other Taiji Jian"
"652",652,"EGY","Omar OMAR",9.07,"M","Group D","Other Taiji Jian"
"653",653,"EGY","Ahmed MAHMOUD",8.97,"M","Group D","Other Taiji Jian"
"654",654,"ALG","Hamraoui ADEL",8.94,"M","Group D","Other Taiji Jian"
"655",655,"UKR","Mykola HOLOBORODKO",8.86,"M","Group D","Other Taiji Jian"
"656",656,"IND","Atharv Rhushikesh MODAK",8.76,"M","Group D","Other Taiji Jian"
"657",657,"ESP","Mario SIMON GARCIA",8.76,"M","Group D","Other Taiji Jian"
"658",658,"BRA","Caio ZANINI",8.7,"M","Group D","Other Taiji Jian"
"659",659,"USA","Jeffrie WANG",8.37,"M","Group D","Other Taiji Jian"
"660",660,"HKG","Pak Long SAT",9.03,"M","Group D","Other Taijiquan"
"661",661,"EGY","Mohamed Mohamed Elblshy MOHAMED",9,"M","Group D","Other Taijiquan"
"662",662,"RUS","Vasilii KISLITCYN",8.87,"M","Group D","Other Taijiquan"
"663",663,"UKR","Mykola HOLOBORODKO",8.84,"M","Group D","Other Taijiquan"
"664",664,"BRA","Caio ZANINI",8.83,"M","Group D","Other Taijiquan"
"665",665,"ESP","Mario SIMON GARCIA",8.81,"M","Group D","Other Taijiquan"
"666",666,"GER","Kai Frank JANSEN",8.81,"M","Group D","Other Taijiquan"
"667",667,"JPN","Shoichiro UMEHARA",8.8,"M","Group D","Other Taijiquan"
"668",668,"IND","Atharv Rhushikesh MODAK",8.8,"M","Group D","Other Taijiquan"
"669",669,"ALG","Hamraoui ADEL",8.79,"M","Group D","Other Taijiquan"
"670",670,"BUL","Dimitar Mladenov MIHAYLOV",8.73,"M","Group D","Other Taijiquan"
"671",671,"IND","Rajmalhar Mahesh VHATKAR",8.72,"M","Group D","Other Taijiquan"
"672",672,"IND","Ankit SHARMA",8.42,"M","Group D","Other Taijiquan"
"673",673,"CHI","David Gabriel BOBADILLA MOLINA",8.98,"M","Group D","Other Traditional Double Weapon"
"674",674,"TPE","I Lun CHEN",8.96,"M","Group D","Other Traditional Double Weapon"
"675",675,"POL","Tomasz BILUT",8.9,"M","Group D","Other Traditional Double Weapon"
"676",676,"MAS","Ka Hee LAM",8.88,"M","Group D","Other Traditional Double Weapon"
"677",677,"USA","Krist Bryan CALDWELL",8.87,"M","Group D","Other Traditional Double Weapon"
"678",678,"USA","Brandon LIU",8.86,"M","Group D","Other Traditional Double Weapon"
"679",679,"CHI","Ariel MANCILLA BARRIENTOS",8.85,"M","Group D","Other Traditional Double Weapon"
"680",680,"SGP","Yap Wei Sheng Wilson YAP",8.85,"M","Group D","Other Traditional Double Weapon"
"681",681,"BRA","Fabricio OSAKU",8.83,"M","Group D","Other Traditional Double Weapon"
"682",682,"USA","Michael MOORE",8.77,"M","Group D","Other Traditional Double Weapon"
"683",683,"BRA","Estevao Calebe ALMEIDA VILAS BOAS",8.72,"M","Group D","Other Traditional Double Weapon"
"684",684,"SRI","Mohamed Nusky MOHAMED FAIZER",8.71,"M","Group D","Other Traditional Double Weapon"
"685",685,"USA","Wendell HOM",NA,"M","Group D","Other Traditional Double Weapon"
"686",686,"UKR","Daniil FESHCENKO",9.03,"M","Group D","Other Traditional Flexible/Soft Weapon"
"687",687,"RUS","Andrey MORKOVKIN",9,"M","Group D","Other Traditional Flexible/Soft Weapon"
"688",688,"BRA","Cleu DE ALMEIDA COSTA",8.97,"M","Group D","Other Traditional Flexible/Soft Weapon"
"689",689,"PER","Leonardo Hernan SANCHEZ LAURA",8.94,"M","Group D","Other Traditional Flexible/Soft Weapon"
"690",690,"USA","Junhong CHON",8.88,"M","Group D","Other Traditional Flexible/Soft Weapon"
"691",691,"ROU","Giuliano Isa ZAMOLO",8.86,"M","Group D","Other Traditional Flexible/Soft Weapon"
"692",692,"TJK","Fotekh TABAROV",8.85,"M","Group D","Other Traditional Flexible/Soft Weapon"
"693",693,"CHI","Andres Guillermo TOBAR TRONCOSO",8.84,"M","Group D","Other Traditional Flexible/Soft Weapon"
"694",694,"AUS","Timothy HONDROUDAKIS",8.83,"M","Group D","Other Traditional Flexible/Soft Weapon"
"695",695,"USA","Aaron KEYS",8.72,"M","Group D","Other Traditional Flexible/Soft Weapon"
"696",696,"CHN","Fu Kui LI",9.26,"M","Group D","Other Traditional Single Weapon"
"697",697,"CHN","Xiao Jun ZHANG",9.15,"M","Group D","Other Traditional Single Weapon"
"698",698,"TPE","Ming Feng CHEN",8.98,"M","Group D","Other Traditional Single Weapon"
"699",699,"MAC","Man Hou LAM",8.91,"M","Group D","Other Traditional Single Weapon"
"700",700,"EGY","Mohamed Mohamed Elblshy MOHAMED",8.9,"M","Group D","Other Traditional Single Weapon"
"701",701,"ESP","Rodrigo BONILLA TORIBIO",8.86,"M","Group D","Other Traditional Single Weapon"
"702",702,"BRA","Marcelo Vinicius GIRALDI DE OLIVEIRA",8.85,"M","Group D","Other Traditional Single Weapon"
"703",703,"ESP","Rafael GROLIER NOGUEIRA",8.83,"M","Group D","Other Traditional Single Weapon"
"704",704,"CHI","Alejandro Andres HORMAZABAL VILCHES",8.81,"M","Group D","Other Traditional Single Weapon"
"705",705,"GEO","Beka ZHORZHOLADZE",8.78,"M","Group D","Other Traditional Single Weapon"
"706",706,"ALG","Arab AZEDINE",8.65,"M","Group D","Other Traditional Single Weapon"
"707",707,"USA","Sen GAO",9.14,"M","Group D","Other Types of Traditional Styles"
"708",708,"CHN","Xiao Jun ZHANG",9.13,"M","Group D","Other Types of Traditional Styles"
"709",709,"JPN","Ryuhei KOJIMA",9.08,"M","Group D","Other Types of Traditional Styles"
"710",710,"UKR","Viacheslav KRYSKO",9.05,"M","Group D","Other Types of Traditional Styles"
"711",711,"RUS","Radik ZARIPOV",9.03,"M","Group D","Other Types of Traditional Styles"
"712",712,"EGY","Ahmed ABDOU",9.01,"M","Group D","Other Types of Traditional Styles"
"713",713,"TPE","Ming Feng CHEN",9,"M","Group D","Other Types of Traditional Styles"
"714",714,"JPN","Takeo OCHIAI",8.99,"M","Group D","Other Types of Traditional Styles"
"715",715,"LTU","Aram MURADYAN",8.97,"M","Group D","Other Types of Traditional Styles"
"716",716,"CHI","David Gabriel BOBADILLA MOLINA",8.96,"M","Group D","Other Types of Traditional Styles"
"717",717,"PER","Martin Xiangdong HUANG HERMIDA",8.95,"M","Group D","Other Types of Traditional Styles"
"718",718,"ITA","Alessandro PIRAS",8.89,"M","Group D","Other Types of Traditional Styles"
"719",719,"BRA","Caio FERNANDES MARTINES",8.87,"M","Group D","Other Types of Traditional Styles"
"720",720,"USA","Matthew CHAN",8.86,"M","Group D","Other Types of Traditional Styles"
"721",721,"USA","Aaron KEYS",8.85,"M","Group D","Other Types of Traditional Styles"
"722",722,"TUN","Yassine HADDAD",8.85,"M","Group D","Other Types of Traditional Styles"
"723",723,"BRA","Joao Francisco DINIZ FILHO",8.84,"M","Group D","Other Types of Traditional Styles"
"724",724,"BRA","Estevao Calebe ALMEIDA VILAS BOAS",8.83,"M","Group D","Other Types of Traditional Styles"
"725",725,"USA","Andy ZOU",8.83,"M","Group D","Other Types of Traditional Styles"
"726",726,"BRA","Amyr FURLAN DA CUNHA",8.82,"M","Group D","Other Types of Traditional Styles"
"727",727,"USA","Srinivas Brinda BALAGOPAL",8.82,"M","Group D","Other Types of Traditional Styles"
"728",728,"BRA","Henrique NUNES SANTANA",8.81,"M","Group D","Other Types of Traditional Styles"
"729",729,"SGP","Kuek Wei Jie KUEK",8.76,"M","Group D","Other Types of Traditional Styles"
"730",730,"SGP","Ho Kai Leong HO",8.75,"M","Group D","Other Types of Traditional Styles"
"731",731,"PER","Leonardo Hernan SANCHEZ LAURA",8.73,"M","Group D","Other Types of Traditional Styles"
"732",732,"USA","Andrew TAN",8.71,"M","Group D","Other Types of Traditional Styles"
"733",733,"USA","Nathan LAM",8.71,"M","Group D","Other Types of Traditional Styles"
"734",734,"BRA","Ian Godel MESQUITA SCHRADER",8.69,"M","Group D","Other Types of Traditional Styles"
"735",735,"SRI","Shan Nethmina KASTHURI ARACHCHIGE",8.65,"M","Group D","Other Types of Traditional Styles"
"736",736,"CHN","Fu Kui LI",NA,"M","Group D","Other Types of Traditional Styles"
"737",737,"TUN","Omar BETTAYEB",NA,"M","Group D","Other Types of Traditional Styles"
"738",738,"RUS","Dmitrii TIUNOV",9.15,"M","Group D","Pudao"
"739",739,"UKR","Roman REVA",9.04,"M","Group D","Pudao"
"740",740,"PER","Martin Xiangdong HUANG HERMIDA",9.01,"M","Group D","Pudao"
"741",741,"ITA","Angelo DAMASCO",8.92,"M","Group D","Pudao"
"742",742,"BRA","Miguel DE OLIVEIRA MANACERO",8.88,"M","Group D","Pudao"
"743",743,"USA","Ian WONG",8.83,"M","Group D","Pudao"
"744",744,"USA","Nathan LAM",8.81,"M","Group D","Pudao"
"745",745,"SVK","Peter KYSEL",8.65,"M","Group D","Pudao"
"746",746,"TUN","Omar BETTAYEB",NA,"M","Group D","Pudao"
"747",747,"MAC","Chan Pong NG",9.06,"M","Group D","Qiang (Spear)"
"748",748,"MAC","Chon Wong MA",9.05,"M","Group D","Qiang (Spear)"
"749",749,"EGY","Ahmed ABDOU",9,"M","Group D","Qiang (Spear)"
"750",750,"USA","Ryan WONG",8.9,"M","Group D","Qiang (Spear)"
"751",751,"SGP","Kuek Wei Jie KUEK",8.84,"M","Group D","Qiang (Spear)"
"752",752,"BRA","Joao Francisco DINIZ FILHO",8.82,"M","Group D","Qiang (Spear)"
"753",753,"ALG","Belghazi ZINE EL ABIDINE",8.81,"M","Group D","Qiang (Spear)"
"754",754,"BRA","Iuri BORGES COUTINHO GALLO",8.8,"M","Group D","Qiang (Spear)"
"755",755,"PAK","Muhammad Abdul REHMAN",NA,"M","Group D","Qiang (Spear)"
"756",756,"UKR","Roman REVA",9.11,"M","Group D","Shaolin Quan"
"757",757,"RUS","Ilya LITVINCHUK",9.1,"M","Group D","Shaolin Quan"
"758",758,"PER","Ricardo Andre VELASQUEZ BALTA",9.08,"M","Group D","Shaolin Quan"
"759",759,"ARG","Nelso Cesar CARELLA",9.01,"M","Group D","Shaolin Quan"
"760",760,"TPE","I Lun CHEN",9,"M","Group D","Shaolin Quan"
"761",761,"TJK","Mirzodalerkhon KHURSHEDZODA",9,"M","Group D","Shaolin Quan"
"762",762,"CHI","Ariel MANCILLA BARRIENTOS",8.91,"M","Group D","Shaolin Quan"
"763",763,"ITA","Angelo DAMASCO",8.91,"M","Group D","Shaolin Quan"
"764",764,"KAZ","Alexey BABENKO",8.9,"M","Group D","Shaolin Quan"
"765",765,"ROU","Mihai IOANA",8.87,"M","Group D","Shaolin Quan"
"766",766,"USA","Ryan WONG",8.85,"M","Group D","Shaolin Quan"
"767",767,"UKR","Artem HASHCHUK",8.83,"M","Group D","Shaolin Quan"
"768",768,"USA","Alan TENG",8.81,"M","Group D","Shaolin Quan"
"769",769,"BRA","Giovane Ricardo CINTRA",8.81,"M","Group D","Shaolin Quan"
"770",770,"BRA","Fabricio OSAKU",8.8,"M","Group D","Shaolin Quan"
"771",771,"ITA","Francesco Daniel COSENTINO",8.8,"M","Group D","Shaolin Quan"
"772",772,"USA","Cody FONG",8.8,"M","Group D","Shaolin Quan"
"773",773,"AUS","Timothy HONDROUDAKIS",8.78,"M","Group D","Shaolin Quan"
"774",774,"FRA","Nicolas GU",8.77,"M","Group D","Shaolin Quan"
"775",775,"TJK","Muhammadkhoja AHMADOV",8.77,"M","Group D","Shaolin Quan"
"776",776,"BRA","Eduardo DE SOUZA LIMA",8.75,"M","Group D","Shaolin Quan"
"777",777,"ITA","Davide FIRINU",NA,"M","Group D","Shaolin Quan"
"778",778,"UKR","Viacheslav KRYSKO",9.2,"M","Group D","Shuang Dao (Double Broadsword)"
"779",779,"MAC","Ka Seng LAM",9.02,"M","Group D","Shuang Dao (Double Broadsword)"
"780",780,"PER","Ricardo Andre VELASQUEZ BALTA",9.01,"M","Group D","Shuang Dao (Double Broadsword)"
"781",781,"USA","Andy ZOU",8.94,"M","Group D","Shuang Dao (Double Broadsword)"
"782",782,"BRA","Caio FERNANDES MARTINES",8.9,"M","Group D","Shuang Dao (Double Broadsword)"
"783",783,"SVK","Michal REPCIK",8.8,"M","Group D","Shuang Dao (Double Broadsword)"
"784",784,"RUS","Andrey MORKOVKIN",8.96,"M","Group D","Wing Chun Kune (Yongchun Quan)"
"785",785,"HKG","James Lawrence YUEN",8.95,"M","Group D","Wing Chun Kune (Yongchun Quan)"
"786",786,"RUS","Andrei NIKITIN",8.87,"M","Group D","Wing Chun Kune (Yongchun Quan)"
"787",787,"GEO","Beka ZHORZHOLADZE",8.83,"M","Group D","Wing Chun Kune (Yongchun Quan)"
"788",788,"ALG","Arab AZEDINE",8.8,"M","Group D","Wing Chun Kune (Yongchun Quan)"
"789",789,"COL","William Andres MOLANO ANDRADE",8.79,"M","Group D","Wing Chun Kune (Yongchun Quan)"
"790",790,"UKR","Yurii HALKIN",8.79,"M","Group D","Wing Chun Kune (Yongchun Quan)"
"791",791,"EGY","Nasr Ibrahim Tawfik Mosaad SALEM",8.78,"M","Group D","Wing Chun Kune (Yongchun Quan)"
"792",792,"SRI","Mohamed Nusky MOHAMED FAIZER",8.74,"M","Group D","Wing Chun Kune (Yongchun Quan)"
"793",793,"IND","Nitish Kumar BARMAN",NA,"M","Group D","Wing Chun Kune (Yongchun Quan)"
"794",794,"IND","Tarun NAMDEO",NA,"M","Group D","Wing Chun Kune (Yongchun Quan)"
"795",795,"IND","Ajay VERMA",NA,"M","Group D","Wing Chun Kune (Yongchun Quan)"
"796",796,"IND","VERMA AJAY",NA,"M","Group D","Wing Chun Kune (Yongchun Quan)"
"797",797,"CHN","Ju Tian ZHENG",9.2,"M","Group D","Xingyi Quan"
"798",798,"RUS","Oleg KHANDESHIN",9.04,"M","Group D","Xingyi Quan"
"799",799,"ITA","Ivo ZEDDA",8.86,"M","Group D","Xingyi Quan"
"800",800,"CHI","Rafael Ignacio NUNEZ ALARCON",8.86,"M","Group D","Xingyi Quan"
"801",801,"TUN","Mohamed DAADAA",8.75,"M","Group D","Xingyi Quan"
"802",802,"ALG","Bouhamidane AHMED",NA,"M","Group D","Xingyi Quan"
"803",803,"RUS","Natig VELIEV",8.81,"M","Group E","Posture Taiji Jian"
"804",804,"HKG","Kwong Choi TSANG",8.69,"M","Group E","Posture Taiji Jian"
"805",805,"SRI","Sarathchandra WELIKUMBURE KATTADIGE",8.68,"M","Group E","Posture Taiji Jian"
"806",806,"HKG","Yiu Chung FUNG",8.65,"M","Group E","Posture Taiji Jian"
"807",807,"HKG","Pak Kei Vincent KAN",8.61,"M","Group E","Posture Taiji Jian"
"808",808,"HKG","Hon Pong Ronney NGAN",8.55,"M","Group E","Posture Taiji Jian"
"809",809,"JPN","Mitomi SHIMOKAWA",8.99,"M","Group E","Posture Taijiquan"
"810",810,"RUS","Natig VELIEV",8.83,"M","Group E","Posture Taijiquan"
"811",811,"FRA","Laurent JOLY",8.8,"M","Group E","Posture Taijiquan"
"812",812,"HKG","Hung CHEUNG",8.79,"M","Group E","Posture Taijiquan"
"813",813,"BRA","Hemerson CARVALHO DE OLIVEIRA",8.74,"M","Group E","Posture Taijiquan"
"814",814,"SRI","Sarathchandra WELIKUMBURE KATTADIGE",8.71,"M","Group E","Posture Taijiquan"
"815",815,"USA","Matthew ROSS",8.68,"M","Group E","Posture Taijiquan"
"816",816,"USA","Bo LI",NA,"M","Group E","Posture Taijiquan"
"817",817,"BRA","Eronaldo SOARES DA SILVA",NA,"M","Group E","Posture Taijiquan"
"818",818,"LAT","Romans VLASENKO",8.91,"M","Group E","Chen Style Taiji Jian"
"819",819,"USA","Xinli TAN",8.88,"M","Group E","Chen Style Taiji Jian"
"820",820,"CZE","Jiri HAUSKA",8.84,"M","Group E","Chen Style Taiji Jian"
"821",821,"RUS","Edgar TOBUKOV",8.82,"M","Group E","Chen Style Taiji Jian"
"822",822,"MAC","Kun Long LOK",8.77,"M","Group E","Chen Style Taiji Jian"
"823",823,"RUS","Aleksandr KUPOREV",8.76,"M","Group E","Chen Style Taiji Jian"
"824",824,"USA","Cheng ZHANG",8.72,"M","Group E","Chen Style Taiji Jian"
"825",825,"SGP","Loh Leong Sin LOH",8.71,"M","Group E","Chen Style Taiji Jian"
"826",826,"SGP","Hazel Ng Hwee Chu NG",NA,"M","Group E","Chen Style Taiji Jian"
"827",827,"CHN","Bao Zeng WANG",9.22,"M","Group E","Gun (Cudgel/Staff)"
"828",828,"MAS","Chin Chee LEE",9.11,"M","Group E","Gun (Cudgel/Staff)"
"829",829,"USA","Yu-neng YEH",8.77,"M","Group E","Gun (Cudgel/Staff)"
"830",830,"COL","Alvaro LEON MEDINA",8.74,"M","Group E","Gun (Cudgel/Staff)"
"831",831,"FRA","Aton SOUMACHE",8.66,"M","Group E","Gun (Cudgel/Staff)"
"832",832,"SRI","Krishantha KASTHURI ARACHCHIGE",8.45,"M","Group E","Gun (Cudgel/Staff)"
"833",833,"ROU","Florin IOANA",NA,"M","Group E","Gun (Cudgel/Staff)"
"834",834,"CHN","Zhen Zhong ZHAO",9.16,"M","Group E","Jian (Straight Sword)"
"835",835,"UKR","Oleksandr PEREBERIN",9.04,"M","Group E","Jian (Straight Sword)"
"836",836,"USA","Brandon SUGIYAMA",8.97,"M","Group E","Jian (Straight Sword)"
"837",837,"RUS","Mikhail NATURALNYY",8.87,"M","Group E","Jian (Straight Sword)"
"838",838,"GER","Dmitri TOROPOV",8.73,"M","Group E","Jian (Straight Sword)"
"839",839,"GEO","David BEZHASHVILI",NA,"M","Group E","Jian (Straight Sword)"
"840",840,"HKG","Yuk Tong JIM",NA,"M","Group E","Jian (Straight Sword)"
"841",841,"TJK","Mirzoibrogim IBROGIMOV",NA,"M","Group E","Jian (Straight Sword)"
"842",842,"CHN","Chun Yan SUN",9.2,"M","Group E","Other Taiji Jian"
"843",843,"MAC","Chunyang TIAN",8.96,"M","Group E","Other Taiji Jian"
"844",844,"ALG","Ait-zerrouk KARIM",8.84,"M","Group E","Other Taiji Jian"
"845",845,"ITA","Alessandro MONTESU",8.78,"M","Group E","Other Taiji Jian"
"846",846,"GEO","Lasha SUMBULASHVILI",8.71,"M","Group E","Other Taiji Jian"
"847",847,"USA","Mark RINKERMAN",8.66,"M","Group E","Other Taiji Jian"
"848",848,"BRA","Hemerson CARVALHO DE OLIVEIRA",8.62,"M","Group E","Other Taiji Jian"
"849",849,"BRU","Wing Hoe CHAN",8.54,"M","Group E","Other Taiji Jian"
"850",850,"FRA","Stephanie TROLEZ",NA,"M","Group E","Other Taiji Jian"
"851",851,"USA","Bo LI",NA,"M","Group E","Other Taiji Jian"
"852",852,"BRA","Eronaldo SOARES DA SILVA",NA,"M","Group E","Other Taiji Jian"
"853",853,"ROU","Claudiu MIHAILA",8.95,"M","Group E","Other Taiji Weapon"
"854",854,"JPN","Mitomi SHIMOKAWA",8.91,"M","Group E","Other Taiji Weapon"
"855",855,"AUS","Sherman Shu Hang MAK",8.89,"M","Group E","Other Taiji Weapon"
"856",856,"AUS","Laurence WILKINS",8.84,"M","Group E","Other Taiji Weapon"
"857",857,"NED","Douwe GELUK",8.78,"M","Group E","Other Taiji Weapon"
"858",858,"ESP","Raul LOPEZ MORENO",8.76,"M","Group E","Other Taiji Weapon"
"859",859,"CAN","Xu ZHOU",8.72,"M","Group E","Other Taiji Weapon"
"860",860,"USA","Matthew ROSS",8.68,"M","Group E","Other Taiji Weapon"
"861",861,"JPN","Tadashi FUKUNISHI",8.5,"M","Group E","Other Taiji Weapon"
"862",862,"CHN","Chun Yan SUN",9.1,"M","Group E","Other Taijiquan"
"863",863,"LAT","Romans VLASENKO",8.97,"M","Group E","Other Taijiquan"
"864",864,"MAC","Kun Long LOK",8.94,"M","Group E","Other Taijiquan"
"865",865,"USA","Xinli TAN",8.91,"M","Group E","Other Taijiquan"
"866",866,"HKG","Yuk Tong JIM",8.84,"M","Group E","Other Taijiquan"
"867",867,"MAC","Chunyang TIAN",8.83,"M","Group E","Other Taijiquan"
"868",868,"GER","Dmitri TOROPOV",8.81,"M","Group E","Other Taijiquan"
"869",869,"ITA","Alessandro MONTESU",8.81,"M","Group E","Other Taijiquan"
"870",870,"USA","Mark RINKERMAN",8.79,"M","Group E","Other Taijiquan"
"871",871,"NED","Douwe GELUK",8.73,"M","Group E","Other Taijiquan"
"872",872,"BRU","Wing Hoe CHAN",8.7,"M","Group E","Other Taijiquan"
"873",873,"SRI","Vijith Priyantha Edirisingha EDIRISINGHA ARACHCHILLAGE",NA,"M","Group E","Other Taijiquan"
"874",874,"CHN","Kai ZHANG",9.14,"M","Group E","Other Traditional Single Weapons"
"875",875,"MAS","Ching Fung TAN",9.05,"M","Group E","Other Traditional Single Weapons"
"876",876,"FRA","Hrod ROMERO",8.95,"M","Group E","Other Traditional Single Weapons"
"877",877,"RUS","Vadim ASTAFEV",8.93,"M","Group E","Other Traditional Single Weapons"
"878",878,"USA","Christopher Roy SHEPHERD",8.9,"M","Group E","Other Traditional Single Weapons"
"879",879,"NZL","Lei YANG",8.89,"M","Group E","Other Traditional Single Weapons"
"880",880,"MAS","Hing How CHOO",8.86,"M","Group E","Other Traditional Single Weapons"
"881",881,"BRA","Carlos Andre SOUZA FEITOSA",8.85,"M","Group E","Other Traditional Single Weapons"
"882",882,"FRA","Laurent JOLY",8.84,"M","Group E","Other Traditional Single Weapons"
"883",883,"JPN","Kensuke SAKAI",8.8,"M","Group E","Other Traditional Single Weapons"
"884",884,"SVK","Peter KYSEL",8.79,"M","Group E","Other Traditional Single Weapons"
"885",885,"COL","Victor Luis PIMENTEL INOJOSA",8.74,"M","Group E","Other Traditional Single Weapons"
"886",886,"TUN","Othman HAMLI",8.73,"M","Group E","Other Traditional Single Weapons"
"887",887,"CHN","Guo Xiang GAO",NA,"M","Group E","Other Traditional Single Weapons"
"888",888,"ROU","Mihai SERBANESCU",8.89,"M","Group E","Other Traditional Weapon"
"889",889,"ESP","Vicente Miguel RAJA CATALA",8.8,"M","Group E","Other Traditional Weapon"
"890",890,"BRA","Jaime Cesar TAI",8.78,"M","Group E","Other Traditional Weapon"
"891",891,"FRA","Laurent PIAULT",8.77,"M","Group E","Other Traditional Weapon"
"892",892,"UKR","Shamardin ANDRII",8.75,"M","Group E","Other Traditional Weapon"
"893",893,"SRI","Nuwan Sanjeewa LORENSU HEWAGE",8.66,"M","Group E","Other Traditional Weapon"
"894",894,"BRA","Edson Afonso SERAFIM",NA,"M","Group E","Other Traditional Weapon"
"895",895,"CHN","Guo Xiang GAO",9.09,"M","Group E","Other Types of Traditional Styles"
