"","Team","Athlete","Score","Remark","Sex","Group","Form"
"583","MEX","Adrian TEYECHEA L",8.43,"","M","Group B","Shaolin Quan"
"584","USA","Ean BENNETT",8.43,"","M","Group B","Shaolin Quan"
"585","RSA","Raiden ADAMS",8.42,"","M","Group B","Shaolin Quan"
"586","GER","Thomas Schneider",8.41,"","M","Group B","Shaolin Quan"
"587","USA","Frank WU",8.4,"","M","Group B","Shaolin Quan"
"588","USA","Jeffrey CHON",9.1,"1st Category Prize","M","Group C","Shaolin Quan"
"589","RUS","Ilya LITVINCHUK",9.05,"1st Category Prize","M","Group C","Shaolin Quan"
"590","RUS","Igor MOROZ",9.01,"1st Category Prize","M","Group C","Shaolin Quan"
"591","SVK","Marian SUSEDKA",8.94,"2nd Category Prize","M","Group C","Shaolin Quan"
"592","ITA","Antonino STORNIOLO",8.92,"2nd Category Prize","M","Group C","Shaolin Quan"
"593","KAZ","Babenko Alexey",8.89,"2nd Category Prize","M","Group C","Shaolin Quan"
"594","FRA","ARISTIDE Julien",8.87,"2nd Category Prize","M","Group C","Shaolin Quan"
"595","JPN","KENTA OCHI",8.85,"2nd Category Prize","M","Group C","Shaolin Quan"
"596","ESP","VICENTE MIGUEL RAJA CATALA",8.82,"3rd Category Prize","M","Group C","Shaolin Quan"
"597","ITA","Claudio PARDO",8.81,"3rd Category Prize","M","Group C","Shaolin Quan"
"598","UKR","ARTEM SUONG",8.81,"3rd Category Prize","M","Group C","Shaolin Quan"
"599","TPE","LIN ting han",8.81,"3rd Category Prize","M","Group C","Shaolin Quan"
"600","CZE","Martin Lee",8.81,"3rd Category Prize","M","Group C","Shaolin Quan"
"601","FRA","GU Nicolas",8.8,"3rd Category Prize","M","Group C","Shaolin Quan"
"602","IRI","mohsen roozbahani",8.74,"3rd Category Prize","M","Group C","Shaolin Quan"
"603","RSA","Martin Henry VENSKI",8.73,"3rd Category Prize","M","Group C","Shaolin Quan"
"604","IRI","mahdi heidari esfandarani",8.71,"","M","Group C","Shaolin Quan"
"605","BRA","Giovani Ricardo CINTRA",8.69,"","M","Group C","Shaolin Quan"
"606","BOL","Ivan Vazques Menes",8.69,"","M","Group C","Shaolin Quan"
"607","IRI","ali akbar hojjati pour",8.68,"","M","Group C","Shaolin Quan"
"608","RSA","Matthew Harold AGNEW",8.67,"","M","Group C","Shaolin Quan"
"609","BRA","Fabricio OSAKU",8.67,"","M","Group C","Shaolin Quan"
"610","TUN","yassin aoled jbeli",8.64,"","M","Group C","Shaolin Quan"
"611","USA","Benny CHANTHAVONG",8.62,"","M","Group C","Shaolin Quan"
"612","ROU","Iana Mihail Alexandru",8.53,"","M","Group C","Shaolin Quan"
"613","RUS","Andrey BOYKOV",8.94,"1st Category Prize","M","Group D","Shaolin Quan"
"614","JPN","KENSUKE SAKAI",8.87,"2nd Category Prize","M","Group D","Shaolin Quan"
"615","RSA","Brennan John Dominicus GLANSBEEK",8.82,"3rd Category Prize","M","Group D","Shaolin Quan"
"616","RSA","Albert Mthunzi LUTHULI",8.68,"3rd Category Prize","M","Group D","Shaolin Quan"
"617","ARG","Fernando Franco",8.64,"","M","Group D","Shaolin Quan"
"618","ARG","Fernando Cima",8.64,"","M","Group D","Shaolin Quan"
"619","FRA","SOUMACHE Aton",8.5,"","M","Group D","Shaolin Quan"
"620","USA","Kaitlyn TRAN",8.61,"1st Category Prize","W","Group B","Shaolin Quan"
"621","USA","Nina FRIAS",8.58,"2nd Category Prize","W","Group B","Shaolin Quan"
"622","GER","Konstanzia Merten",8.48,"2nd Category Prize","W","Group B","Shaolin Quan"
"623","RSA","Erin MC CARDLE",8.45,"3rd Category Prize","W","Group B","Shaolin Quan"
"624","FRA","SOUMACHE Colette",8.44,"3rd Category Prize","W","Group B","Shaolin Quan"
"625","KAZ","Kuspanova Dayana",8.43,"3rd Category Prize","W","Group B","Shaolin Quan"
"626","KAZ","Abdulmanova Amina",8.41,"","W","Group B","Shaolin Quan"
"627","FRA","GAY Lauranne",8.4,"","W","Group B","Shaolin Quan"
"628","BOL","Wara Guevara Pinedo",8.4,"","W","Group B","Shaolin Quan"
"629","TPE","CHEN yu han",8.39,"","W","Group B","Shaolin Quan"
"630","USA","Xiaoyi CHEN",8.78,"1st Category Prize","W","Group C","Shaolin Quan"
"631","ITA","Alessia TARTUFOLI",8.67,"2nd Category Prize","W","Group C","Shaolin Quan"
"632","RSA","Sinead Ashley STARLEY",8.66,"3rd Category Prize","W","Group C","Shaolin Quan"
"633","RSA","Nerine DU PLESSIS",8.64,"3rd Category Prize","W","Group C","Shaolin Quan"
"634","USA","Anna LI",8.54,"","W","Group C","Shaolin Quan"
"635","ARG","Amanda Mamani",8.43,"","W","Group C","Shaolin Quan"
"636","EGY","Hagar Mohamed Elsayed Farahat",9,"1st Category Prize","W","Group C","Other Types of Traditional Styles"
"637","RUS","Anna SHATAEVA",8.96,"1st Category Prize","W","Group C","Other Types of Traditional Styles"
"638","BRA","Raquel dos Santos ARAUJO",8.9,"2nd Category Prize","W","Group C","Other Types of Traditional Styles"
"639","ITA","Sonia ABIS",8.89,"2nd Category Prize","W","Group C","Other Types of Traditional Styles"
"640","FRA","TEXIER Anne",8.86,"2nd Category Prize","W","Group C","Other Types of Traditional Styles"
"641","NED","Linda Eleonora",8.85,"2nd Category Prize","W","Group C","Other Types of Traditional Styles"
"642","RUS","Evgeniya GRIBANOVA",8.84,"3rd Category Prize","W","Group C","Other Types of Traditional Styles"
"643","TPE","WU chia hsin",8.8,"3rd Category Prize","W","Group C","Other Types of Traditional Styles"
"644","POL","Beata Engel",8.79,"3rd Category Prize","W","Group C","Other Types of Traditional Styles"
"645","RUS","Aleksandra TOLSTIKOVA",8.75,"3rd Category Prize","W","Group C","Other Types of Traditional Styles"
"646","CAN","Sincere Sin-Sze Ip",8.75,"3rd Category Prize","W","Group C","Other Types of Traditional Styles"
"647","HKG","NG WONG Jenny",8.75,"3rd Category Prize","W","Group C","Other Types of Traditional Styles"
"648","RUS","Olga MENSHIKOVA",8.73,"","W","Group C","Other Types of Traditional Styles"
"649","BRA","Severina Marta Ferreira dos SANTOS",8.71,"","W","Group C","Other Types of Traditional Styles"
"650","BRA","Cristiane Aparecida SIMAO",8.71,"","W","Group C","Other Types of Traditional Styles"
"651","KAZ","Traize Diana",8.67,"","W","Group C","Other Types of Traditional Styles"
"652","COL","PAULA ANDREA LOTERO GARNICA",8.62,"","W","Group C","Other Types of Traditional Styles"
"653","CAN","Kimberly Danielle Jordan",8.61,"","W","Group C","Other Types of Traditional Styles"
"654","JPN","YURI MORI",8.53,"","W","Group C","Other Types of Traditional Styles"
"655","TPE","KUO yi peng",9.16,"1st Category Prize","M","Group C","Other Traditional Styles"
"656","RUS","Radik ZARIPOV",9.1,"1st Category Prize","M","Group C","Other Traditional Styles"
"657","USA","Jorge PEREZ",9.06,"2nd Category Prize","M","Group C","Other Traditional Styles"
"658","COL","URIEL DARIO VARELA MEJIA",9.01,"2nd Category Prize","M","Group C","Other Traditional Styles"
"659","HKG","KWONG Yuk Ming",9,"2nd Category Prize","M","Group C","Other Traditional Styles"
"660","UKR","Dmytro Panasiuk",9,"2nd Category Prize","M","Group C","Other Traditional Styles"
"661","ESP","FRANCISCO GARCIA MAZUECOS",8.95,"3rd Category Prize","M","Group C","Other Traditional Styles"
"662","MAC","CHEONG KA CHON",8.93,"3rd Category Prize","M","Group C","Other Traditional Styles"
"663","USA","Faris MAALIKI",8.88,"3rd Category Prize","M","Group C","Other Traditional Styles"
"664","PER","Jorge Roberto CUYA CASTRO",8.87,"3rd Category Prize","M","Group C","Other Traditional Styles"
"665","USA","Jacob JANSEN",8.86,"","M","Group C","Other Traditional Styles"
"666","USA","Sydney LY",8.82,"","M","Group C","Other Traditional Styles"
"667","BRA","Gabriel Guarino Santanna de ALMEIDA",8.81,"","M","Group C","Other Traditional Styles"
"668","USA","Alvin TONG",8.8,"","M","Group C","Other Traditional Styles"
"669","JPN","CHIHIRO MIYAIRI",8.66,"","M","Group C","Other Traditional Styles"
"670","CHN","LIU XIN",9.23,"1st Category Prize","W","Group D","Other Traditional Styles"
"671","JPN","MASAMI SUETSUGU",8.88,"1st Category Prize","W","Group D","Other Traditional Styles"
"672","BRA","Selma Kazue SAKATE",8.85,"2nd Category Prize","W","Group D","Other Traditional Styles"
"673","CAN","Maisy Lee",8.85,"2nd Category Prize","W","Group D","Other Traditional Styles"
"674","FRA","ROMERO Sabine",8.81,"2nd Category Prize","W","Group D","Other Traditional Styles"
"675","USA","Jennifer WEITZ",8.81,"2nd Category Prize","W","Group D","Other Traditional Styles"
"676","JPN","TAMAKO MURATA",8.8,"3rd Category Prize","W","Group D","Other Traditional Styles"
"677","AUS","Sandra Cathro",8.79,"3rd Category Prize","W","Group D","Other Traditional Styles"
"678","FRA","PROVENCHER Judith",8.77,"3rd Category Prize","W","Group D","Other Traditional Styles"
"679","KGZ","Elena PAVLENKO",8.76,"3rd Category Prize","W","Group D","Other Traditional Styles"
"680","KGZ","Tatiana PAK",8.72,"","W","Group D","Other Traditional Styles"
"681","AUS","Eugenia Ngau",8.71,"","W","Group D","Other Traditional Styles"
"682","AUS","Rosemary Hermans",8.7,"","W","Group D","Other Traditional Styles"
"683","JPN","ITSUKO MURAI",8.68,"","W","Group D","Other Traditional Styles"
"684","USA","Lin GAO",8.66,"","W","Group D","Other Traditional Styles"
"685","USA","Rhonda HARJO",8.65,"","W","Group D","Other Traditional Styles"
"686","NED","Jose Ricardo Sousa",9.03,"1st Category Prize","M","Group D","Other Types of Traditional Styles"
"687","CAN","Wai Pui Chung",8.97,"1st Category Prize","M","Group D","Other Types of Traditional Styles"
"688","MAC","TIAN CHUNYANG",8.93,"1st Category Prize","M","Group D","Other Types of Traditional Styles"
"689","CHN","WANG CHAO",8.93,"1st Category Prize","M","Group D","Other Types of Traditional Styles"
"690","BRU","Li Hui",8.91,"2nd Category Prize","M","Group D","Other Types of Traditional Styles"
"691","POL","Roman Lichacz",8.89,"2nd Category Prize","M","Group D","Other Types of Traditional Styles"
"692","MAR","MOHAMED LAOUJ",8.88,"2nd Category Prize","M","Group D","Other Types of Traditional Styles"
"693","FRA","ROMERO Hrod",8.88,"2nd Category Prize","M","Group D","Other Types of Traditional Styles"
"694","BRA","Marco Antonio CARDODO",8.84,"3rd Category Prize","M","Group D","Other Types of Traditional Styles"
"695","NED","Henry Eleonora",8.81,"3rd Category Prize","M","Group D","Other Types of Traditional Styles"
"696","USA","Brandon SUGIYAMA",8.8,"3rd Category Prize","M","Group D","Other Types of Traditional Styles"
"697","JPN","HIDEAKI MURAI",8.8,"3rd Category Prize","M","Group D","Other Types of Traditional Styles"
"698","USA","Wade BLEVINS",8.8,"3rd Category Prize","M","Group D","Other Types of Traditional Styles"
"699","AUS","Ian Chan",8.78,"3rd Category Prize","M","Group D","Other Types of Traditional Styles"
"700","SRI","W.K.SARATHCHANDRA",8.77,"3rd Category Prize","M","Group D","Other Types of Traditional Styles"
"701","ECU","GERARDO RUBIO",8.7,"","M","Group D","Other Types of Traditional Styles"
"702","SRI","L.H NUWAN SANJEEWA",8.66,"","M","Group D","Other Types of Traditional Styles"
"703","SRI","K.A.KRISHANTHA",8.66,"","M","Group D","Other Types of Traditional Styles"
"704","SRI","R.K.WIJENAYAKA",8.58,"","M","Group D","Other Types of Traditional Styles"
"705","CAN","Stephan William Alexander",8.91,"1st Category Prize","M","Group D","Yongchun Quan"
"706","CAN","Henry Ging",8.85,"2nd Category Prize","M","Group D","Yongchun Quan"
"707","CAN","Ivo Guillermo Gonzalez",8.81,"2nd Category Prize","M","Group D","Yongchun Quan"
"708","CAN","David Tomlinson",8.8,"3rd Category Prize","M","Group D","Yongchun Quan"
"709","CAN","Monte Lamond Watson",8.77,"3rd Category Prize","M","Group D","Yongchun Quan"
"710","CAN","Warren Holt",8.77,"3rd Category Prize","M","Group D","Yongchun Quan"
"711","CAN","Victor Melville Lough",8.76,"","M","Group D","Yongchun Quan"
"712","CAN","Chi Hwa Tang",8.75,"","M","Group D","Yongchun Quan"
"713","CAN","Desmond Mark Lee",8.72,"","M","Group D","Yongchun Quan"
"714","CAN","Ira Charles Robinson II",8.46,"","M","Group D","Yongchun Quan"
"715","CHN","ZHANG YONGGUI",9.08,"1st Category Prize","M","Group D","Traditional Nanquan"
"716","BOL","You Huang",9.07,"1st Category Prize","M","Group D","Traditional Nanquan"
"717","GER","Sergej Merten",9.06,"2nd Category Prize","M","Group D","Traditional Nanquan"
"718","MAS","CHING FUNG TAN",9,"2nd Category Prize","M","Group D","Traditional Nanquan"
"719","MAS","MIN FEI CHONG",8.99,"2nd Category Prize","M","Group D","Traditional Nanquan"
"720","USA","Juan Carlos PROANO",8.93,"2nd Category Prize","M","Group D","Traditional Nanquan"
"721","MAS","POH CHYE CHNG",8.9,"3rd Category Prize","M","Group D","Traditional Nanquan"
"722","BRA","Jose Carlos BARBOSA",8.89,"3rd Category Prize","M","Group D","Traditional Nanquan"
"723","UKR","Shamardin Andrii",8.89,"3rd Category Prize","M","Group D","Traditional Nanquan"
"724","COL","ALVARO LEON MEDINA",8.85,"3rd Category Prize","M","Group D","Traditional Nanquan"
"725","MAS","TATT LIN ONG",8.84,"3rd Category Prize","M","Group D","Traditional Nanquan"
"726","ARG","Gustavo Guarino",8.82,"3rd Category Prize","M","Group D","Traditional Nanquan"
"727","MAS","BAN CHOON HNG",8.81,"","M","Group D","Traditional Nanquan"
"728","MAR","ABDELKADER BENGADARI",8.8,"","M","Group D","Traditional Nanquan"
"729","UKR","Chaban Serhii",8.8,"","M","Group D","Traditional Nanquan"
"730","MAS","BOO KHENG CHEONG",8.79,"","M","Group D","Traditional Nanquan"
"731","HKG","LIU Vincent",8.76,"","M","Group D","Traditional Nanquan"
"732","AUS","John Callaghan",8.75,"","M","Group D","Traditional Nanquan"
"733","PAR","Leonardo CABRERA",8.7,"","M","Group D","Traditional Nanquan"
"734","HKG","TAN Jiayi",9.04,"1st Category Prize","W","Group B","Taiji Jian"
"735","EGY","Sara Salah Mohamed Ahmed",8.93,"2nd Category Prize","W","Group B","Taiji Jian"
"736","MAC","CHIANG CHI KEI",8.89,"2nd Category Prize","W","Group B","Taiji Jian"
"737","EGY","Nour Mohamed Ibrahim Mohamed",8.88,"3rd Category Prize","W","Group B","Taiji Jian"
"738","USA","Serena LI",8.83,"3rd Category Prize","W","Group B","Taiji Jian"
"739","NED","Abigail Man",8.81,"3rd Category Prize","W","Group B","Taiji Jian"
"740","IRI","zahra rouhi",8.79,"3rd Category Prize","W","Group B","Taiji Jian"
"741","GBR","Lydia Lai Lydiate",8.77,"","W","Group B","Taiji Jian"
"742","ITA","Eleonora MOCCI",8.72,"","W","Group B","Taiji Jian"
"743","KAZ","Orlyak Anna",8.71,"","W","Group B","Taiji Jian"
"744","CAN","Claire Jie-Ching Lin",8.7,"","W","Group B","Taiji Jian"
"745","ITA","Martina MUGNAI",8.65,"","W","Group B","Taiji Jian"
"746","USA","Alexander YU",8.95,"1st Category Prize","M","Group B","Taiji Jian"
"747","EGY","Youssef Abdelrahman Ali Khalil",8.9,"2nd Category Prize","M","Group B","Taiji Jian"
"748","EGY","Ahmed Abdelrahman Ali Khalil",8.84,"2nd Category Prize","M","Group B","Taiji Jian"
"749","USA","Samuel LI",8.78,"3rd Category Prize","M","Group B","Taiji Jian"
"750","IND","ATHARV RHUSHIKESH MODAK",8.72,"3rd Category Prize","M","Group B","Taiji Jian"
"751","KUW","Abdelrahman Ibrahim REFAAT",8.71,"","M","Group B","Taiji Jian"
"752","SRI","Y.K.YOHAN CHAMIKA LOURANCE",8.71,"","M","Group B","Taiji Jian"
"753","USA","William NG",8.63,"","M","Group B","Taiji Jian"
"754","HKG","MOK Uen Ying Juanita",9.12,"1st Category Prize","W","Group C","Taiji Jian"
"755","HKG","YEUNG Debbie",9.02,"1st Category Prize","W","Group C","Taiji Jian"
"756","EGY","Salma Salah Mohamed Ahmed",8.97,"2nd Category Prize","W","Group C","Taiji Jian"
"757","JPN","MEGUMI YOSHIKAWA",8.97,"2nd Category Prize","W","Group C","Taiji Jian"
"758","HKG","WONG Wing Yan Josephine",8.9,"2nd Category Prize","W","Group C","Taiji Jian"
"759","UKR","Hanna Mandrik",8.89,"2nd Category Prize","W","Group C","Taiji Jian"
"760","RUS","Tatiana SHURMISTROVA",8.87,"3rd Category Prize","W","Group C","Taiji Jian"
"761","KAZ","Sanatkyzy Anel",8.84,"3rd Category Prize","W","Group C","Taiji Jian"
"762","ITA","Stefania GAVIANO",8.81,"3rd Category Prize","W","Group C","Taiji Jian"
"763","CZE","Jana Neradova",8.81,"3rd Category Prize","W","Group C","Taiji Jian"
"764","MAC","IAO HOI MAN",8.8,"3rd Category Prize","W","Group C","Taiji Jian"
"765","RUS","Anastasiia MITROFANOVA",8.8,"3rd Category Prize","W","Group C","Taiji Jian"
"766","POL","Anna Kubiak",8.8,"3rd Category Prize","W","Group C","Taiji Jian"
"767","AUS","Krista Brennan",8.79,"","W","Group C","Taiji Jian"
"768","ROU","Apostolache Kiss Andrea",8.78,"","W","Group C","Taiji Jian"
"769","ITA","Valentina FERRU",8.77,"","W","Group C","Taiji Jian"
"770","ITA","Alessia POMES",8.76,"","W","Group C","Taiji Jian"
"771","MEX","Pamela GUILLEN",8.75,"","W","Group C","Taiji Jian"
"772","RSA","Tarina LUYT",8.73,"","W","Group C","Taiji Jian"
"773","COL","MONICA CRUZ SANCHEZ",8.73,"","W","Group C","Taiji Jian"
"774","GER","Anke Zhang",8.71,"","W","Group C","Taiji Jian"
"775","USA","Jane HARTONO",8.68,"","W","Group C","Taiji Jian"
"776","MAC","MA WA CHIO",8.92,"1st Category Prize","M","Group E","Taiji Dao"
"777","AUS","Stephen Haochuan Lin",8.86,"2nd Category Prize","M","Group E","Taiji Dao"
"778","HKG","YEUNG Yuk Shing",8.82,"3rd Category Prize","M","Group E","Taiji Dao"
"779","USA","Richard JONES",8.77,"3rd Category Prize","M","Group E","Taiji Dao"
"780","HKG","YAU Kar Wai",8.74,"","M","Group E","Taiji Dao"
"781","RUS","Artem KOCHEMASOV",8.63,"1st Category Prize","M","Group B","Wing Chun Kune (Yongchun Quan)"
"782","RUS","Vladimir STREBKOV",8.6,"2nd Category Prize","M","Group B","Wing Chun Kune (Yongchun Quan)"
"783","RUS","Vladislav ERASTOV",8.52,"3rd Category Prize","M","Group B","Wing Chun Kune (Yongchun Quan)"
"784","UKR","Shcherbyna Danylo",8.35,"3rd Category Prize","M","Group B","Wing Chun Kune (Yongchun Quan)"
"785","UKR","Shamardin Bohdan",8.31,"","M","Group B","Wing Chun Kune (Yongchun Quan)"
"786","USA","Vincent MENG",8.75,"1st Category Prize","M","Group C","Wing Chun Kune (Yongchun Quan)"
"787","CAN","Kevin Lee",8.73,"2nd Category Prize","M","Group C","Wing Chun Kune (Yongchun Quan)"
"788","CAN","Daryl Whei Chin",8.71,"2nd Category Prize","M","Group C","Wing Chun Kune (Yongchun Quan)"
"789","CAN","Zachary James Joslin Beauchamp",8.65,"3rd Category Prize","M","Group C","Wing Chun Kune (Yongchun Quan)"
"790","COL","WILLIAM ANDRES MOLANO ANDRADE",8.64,"3rd Category Prize","M","Group C","Wing Chun Kune (Yongchun Quan)"
"791","CAN","Anthony Earl Lough",8.6,"3rd Category Prize","M","Group C","Wing Chun Kune (Yongchun Quan)"
"792","CAN","Phillip Ronald McAuliffe",8.58,"","M","Group C","Wing Chun Kune (Yongchun Quan)"
"793","CAN","Stefanos Diagoras Vriliotis",8.57,"","M","Group C","Wing Chun Kune (Yongchun Quan)"
"794","CAN","Colin Barry Young",8.55,"","M","Group C","Wing Chun Kune (Yongchun Quan)"
"795","RUS","Vadim ASTAFEV",8.83,"1st Category Prize","M","Group C","Choy Lay Fut Kune (Cailifo Quan)"
"796","BRA","Anthony da Silva CAPELAZZO",8.82,"2nd Category Prize","M","Group C","Choy Lay Fut Kune (Cailifo Quan)"
"797","BRA","Ellison de Sousa COSTA",8.81,"3rd Category Prize","M","Group C","Choy Lay Fut Kune (Cailifo Quan)"
"798","BRA","Marco Aparecido Martim JUNIOR",8.76,"3rd Category Prize","M","Group C","Choy Lay Fut Kune (Cailifo Quan)"
"799","BRA","Daniel Shinji HIRATA",8.74,"","M","Group C","Choy Lay Fut Kune (Cailifo Quan)"
"800","MAC","CHONG KENG U",8.63,"","M","Group C","Choy Lay Fut Kune (Cailifo Quan)"
"801","MAC","NG CHAN PONG",9.06,"1st Category Prize","M","Group C","Hung Gar Kune (Hongjia Quan)"
"802","MAC","LEI KEI IAN",8.85,"2nd Category Prize","M","Group C","Hung Gar Kune (Hongjia Quan)"
"803","MAC","FOK CHAN KEONG",8.8,"3rd Category Prize","M","Group C","Hung Gar Kune (Hongjia Quan)"
"804","MAC","MA CHON WONG",8.74,"3rd Category Prize","M","Group C","Hung Gar Kune (Hongjia Quan)"
"805","AUS","Kristoffer Eberius",8.73,"","M","Group C","Hung Gar Kune (Hongjia Quan)"
"806","BRU","Koh Yun C",8.76,"1st Category Prize","W","Group B","Traditional Nanquan"
"807","MAS","BELFERN LEE",8.64,"1st Category Prize","W","Group B","Traditional Nanquan"
"808","USA","Leianna YUEN",8.63,"2nd Category Prize","W","Group B","Traditional Nanquan"
"809","TPE","WU pei chen",8.62,"2nd Category Prize","W","Group B","Traditional Nanquan"
"810","POL","Emilia Marta Rychlewska",8.6,"2nd Category Prize","W","Group B","Traditional Nanquan"
"811","POL","Julia Augustyn",8.6,"2nd Category Prize","W","Group B","Traditional Nanquan"
"812","ROU","Obeanu Mara Georgia Alina",8.6,"2nd Category Prize","W","Group B","Traditional Nanquan"
"813","MAC","WONG SAM UT",8.6,"2nd Category Prize","W","Group B","Traditional Nanquan"
"814","MAS","SIN YEE OOI",8.57,"3rd Category Prize","W","Group B","Traditional Nanquan"
"815","RUS","Aleksandra MORKOVKINA",8.57,"3rd Category Prize","W","Group B","Traditional Nanquan"
"816","UKR","Shamardina Anna",8.55,"","W","Group B","Traditional Nanquan"
"817","CAN","Melody Weng",8.53,"","W","Group B","Traditional Nanquan"
"818","USA","Cameron HALE",8.51,"","W","Group B","Traditional Nanquan"
"819","IND","TRUPTI DEEPAK CHANDWADKAR",8.45,"","W","Group B","Traditional Nanquan"
"820","USA","Victoria NG",8.45,"","W","Group B","Traditional Nanquan"
"821","IRI","bahar jokar",8.45,"","W","Group B","Traditional Nanquan"
"822","TUR","Bedirhan CAPOGLU",9.03,"1st Category Prize","M","Group B","Other Traditional Nanquan"
"823","HKG","NGAN Lok Man",8.98,"1st Category Prize","M","Group B","Other Traditional Nanquan"
"824","GRE","KLAVAS GEORGIOS",8.92,"2nd Category Prize","M","Group B","Other Traditional Nanquan"
"825","USA","Nicholas LI",8.87,"2nd Category Prize","M","Group B","Other Traditional Nanquan"
"826","TPE","KUO hsuan kai",8.83,"2nd Category Prize","M","Group B","Other Traditional Nanquan"
"827","CZE","Karel Kral",8.73,"2nd Category Prize","M","Group B","Other Traditional Nanquan"
"828","USA","John HUANG",8.73,"2nd Category Prize","M","Group B","Other Traditional Nanquan"
"829","MAS","YU SHYAN TANG",8.73,"2nd Category Prize","M","Group B","Other Traditional Nanquan"
"830","BRA","Miguel de Oliveira MANACERO",8.72,"3rd Category Prize","M","Group B","Other Traditional Nanquan"
"831","MAS","WEI YE LEE",8.71,"3rd Category Prize","M","Group B","Other Traditional Nanquan"
"832","USA","Han Mingzhe LI",8.7,"3rd Category Prize","M","Group B","Other Traditional Nanquan"
"833","MAS","PEI YU TAN",8.69,"","M","Group B","Other Traditional Nanquan"
"834","SVK","Matus PRCIN",8.69,"","M","Group B","Other Traditional Nanquan"
"835","USA","Abhirup DASGUPTA",8.68,"","M","Group B","Other Traditional Nanquan"
"836","USA","Caleb YEUNG",8.68,"","M","Group B","Other Traditional Nanquan"
"837","POL","Lukasz Maslanka",8.66,"","M","Group B","Other Traditional Nanquan"
"838","CZE","Jakub Miratsky",8.66,"","M","Group B","Other Traditional Nanquan"
"839","GEO","RAULI MAMEDOVI",8.66,"","M","Group B","Other Traditional Nanquan"
"840","RUS","Tatiana IVSHINA",9.14,"1st Category Prize","W","Group C","Traditional Nanquan"
"841","HKG","LOR Sum Lok Holly",9,"1st Category Prize","W","Group C","Traditional Nanquan"
"842","HKG","YUEN Ka Ying",8.95,"2nd Category Prize","W","Group C","Traditional Nanquan"
"843","UKR","OLENA BILA",8.9,"2nd Category Prize","W","Group C","Traditional Nanquan"
"844","USA","Queenie LI",8.78,"2nd Category Prize","W","Group C","Traditional Nanquan"
"845","MAS","PEI CHEE LAI",8.76,"2nd Category Prize","W","Group C","Traditional Nanquan"
"846","MAC","HAO LEI U",8.76,"2nd Category Prize","W","Group C","Traditional Nanquan"
"847","CZE","Veronika Partikova",8.72,"3rd Category Prize","W","Group C","Traditional Nanquan"
"848","MAC","CHU HIO IAN",8.7,"3rd Category Prize","W","Group C","Traditional Nanquan"
"849","POL","Katarzyna Migdal",8.69,"3rd Category Prize","W","Group C","Traditional Nanquan"
"850","MAS","SOO LING KEE",8.67,"3rd Category Prize","W","Group C","Traditional Nanquan"
"851","USA","Justine AGALOOS",8.66,"3rd Category Prize","W","Group C","Traditional Nanquan"
"852","CZE","Alzbeta Rouzkova",8.66,"3rd Category Prize","W","Group C","Traditional Nanquan"
"853","BRA","Tamiris de Moraes KATO",8.61,"","W","Group C","Traditional Nanquan"
"854","IND","KARAMJIT KAUR",8.6,"","W","Group C","Traditional Nanquan"
"855","RSA","Mohomotji Mapudi MARISHANE",8.59,"","W","Group C","Traditional Nanquan"
"856","BOL","Wanda Huang Calla",8.58,"","W","Group C","Traditional Nanquan"
"857","COL","MAIRA PAMELA GONZALEZ SIERRA",8.56,"","W","Group C","Traditional Nanquan"
"858","RUS","Anastasiia MITROFANOVA",8.55,"","W","Group C","Traditional Nanquan"
"859","HKG","ZHU Yuanpeng",9.16,"1st Category Prize","M","Group C","Other Nanquan"
"860","HKG","LEE Chun Pong Bruce",9.15,"1st Category Prize","M","Group C","Other Nanquan"
"861","USA","Alex TRAN",9.14,"1st Category Prize","M","Group C","Other Nanquan"
"862","RUS","Artem ALTYSHEV",9.13,"2nd Category Prize","M","Group C","Other Nanquan"
"863","POL","Tomasz Bilut",8.92,"2nd Category Prize","M","Group C","Other Nanquan"
"864","MAS","KAH JOON KOO",8.87,"2nd Category Prize","M","Group C","Other Nanquan"
"865","TJK","KHURSHDZODA MIRZODALERKHON",8.85,"3rd Category Prize","M","Group C","Other Nanquan"
"866","HKG","SUEN Hung Kong",8.8,"3rd Category Prize","M","Group C","Other Nanquan"
"867","MAS","HENG XIAN LEE",8.78,"3rd Category Prize","M","Group C","Other Nanquan"
"868","MAS","YU WAI LIN",8.78,"3rd Category Prize","M","Group C","Other Nanquan"
"869","YEM","BASSAM AHMED LWZA",8.77,"3rd Category Prize","M","Group C","Other Nanquan"
"870","SRI","P.JEEWAN MADURANGA",8.76,"3rd Category Prize","M","Group C","Other Nanquan"
"871","AUS","Mitchell Chiew",8.75,"","M","Group C","Other Nanquan"
"872","AUS","Gee Jhung Siu",8.71,"","M","Group C","Other Nanquan"
"873","MAS","HONG CHUN LEE",8.7,"","M","Group C","Other Nanquan"
"874","USA","Brian HUTCHINSON",8.67,"","M","Group C","Other Nanquan"
"875","HKG","LI Kwai Yuen",8.66,"","M","Group C","Other Nanquan"
"876","MAS","CHUN ONN LIAU",8.63,"","M","Group C","Other Nanquan"
"877","IND","AYUSH SHARMA",8.6,"","M","Group C","Other Nanquan"
"878","IND","PRASHANT BALAKU GAIKWAD",8.31,"","M","Group C","Other Nanquan"
"879","HKG","YEUNG Michelle",8.91,"1st Category Prize","W","Group B","Dao (Broadsword)"
