Team,Athlete,Score,Remark,Form
ITA,Sonia ABIS,8.89,2nd Category Prize,International Women's Group C Other Types of Traditional Styles
FRA,TEXIER Anne,8.86,2nd Category Prize,International Women's Group C Other Types of Traditional Styles
NED,Linda Eleonora,8.85,2nd Category Prize,International Women's Group C Other Types of Traditional Styles
RUS,Evgeniya GRIBANOVA,8.84,3rd Category Prize,International Women's Group C Other Types of Traditional Styles
TPE,WU chia hsin,8.8,3rd Category Prize,International Women's Group C Other Types of Traditional Styles
POL,Beata Engel,8.79,3rd Category Prize,International Women's Group C Other Types of Traditional Styles
RUS,Aleksandra TOLSTIKOVA,8.75,3rd Category Prize,International Women's Group C Other Types of Traditional Styles
CAN,Sincere Sin-Sze Ip,8.75,3rd Category Prize,International Women's Group C Other Types of Traditional Styles
HKG,NG WONG Jenny,8.75,3rd Category Prize,International Women's Group C Other Types of Traditional Styles
RUS,Olga MENSHIKOVA,8.73,,International Women's Group C Other Types of Traditional Styles
BRA,Severina Marta Ferreira dos SANTOS,8.71,,International Women's Group C Other Types of Traditional Styles
BRA,Cristiane Aparecida SIMAO,8.71,,International Women's Group C Other Types of Traditional Styles
KAZ,Traize Diana,8.67,,International Women's Group C Other Types of Traditional Styles
COL,PAULA ANDREA LOTERO GARNICA,8.62,,International Women's Group C Other Types of Traditional Styles
CAN,Kimberly Danielle Jordan,8.61,,International Women's Group C Other Types of Traditional Styles
JPN,YURI MORI,8.53,,International Women's Group C Other Types of Traditional Styles
TPE,KUO yi peng,9.16,1st Category Prize,International Men's Group C Other Traditional Styles
RUS,Radik ZARIPOV,9.1,1st Category Prize,International Men's Group C Other Traditional Styles
USA,Jorge PEREZ,9.06,2nd Category Prize,International Men's Group C Other Traditional Styles
COL,URIEL DARIO VARELA MEJIA,9.01,2nd Category Prize,International Men's Group C Other Traditional Styles
HKG,KWONG Yuk Ming,9,2nd Category Prize,International Men's Group C Other Traditional Styles
UKR,Dmytro Panasiuk,9,2nd Category Prize,International Men's Group C Other Traditional Styles
ESP,FRANCISCO GARCIA MAZUECOS,8.95,3rd Category Prize,International Men's Group C Other Traditional Styles
MAC,CHEONG KA CHON,8.93,3rd Category Prize,International Men's Group C Other Traditional Styles
USA,Faris MAALIKI,8.88,3rd Category Prize,International Men's Group C Other Traditional Styles
PER,Jorge Roberto CUYA CASTRO,8.87,3rd Category Prize,International Men's Group C Other Traditional Styles
USA,Jacob JANSEN,8.86,,International Men's Group C Other Traditional Styles
USA,Sydney LY,8.82,,International Men's Group C Other Traditional Styles
BRA,Gabriel Guarino Santanna de ALMEIDA,8.81,,International Men's Group C Other Traditional Styles
USA,Alvin TONG,8.8,,International Men's Group C Other Traditional Styles
JPN,CHIHIRO MIYAIRI,8.66,,International Men's Group C Other Traditional Styles
CHN,LIU XIN,9.23,1st Category Prize,International Women's Group D Other Traditional Styles
JPN,MASAMI SUETSUGU,8.88,1st Category Prize,International Women's Group D Other Traditional Styles
BRA,Selma Kazue SAKATE,8.85,2nd Category Prize,International Women's Group D Other Traditional Styles
CAN,Maisy Lee,8.85,2nd Category Prize,International Women's Group D Other Traditional Styles
FRA,ROMERO Sabine,8.81,2nd Category Prize,International Women's Group D Other Traditional Styles
USA,Jennifer WEITZ,8.81,2nd Category Prize,International Women's Group D Other Traditional Styles
JPN,TAMAKO MURATA,8.8,3rd Category Prize,International Women's Group D Other Traditional Styles
AUS,Sandra Cathro,8.79,3rd Category Prize,International Women's Group D Other Traditional Styles
FRA,PROVENCHER Judith,8.77,3rd Category Prize,International Women's Group D Other Traditional Styles
KGZ,Elena PAVLENKO,8.76,3rd Category Prize,International Women's Group D Other Traditional Styles
KGZ,Tatiana PAK,8.72,,International Women's Group D Other Traditional Styles
AUS,Eugenia Ngau,8.71,,International Women's Group D Other Traditional Styles
AUS,Rosemary Hermans,8.7,,International Women's Group D Other Traditional Styles
JPN,ITSUKO MURAI,8.68,,International Women's Group D Other Traditional Styles
USA,Lin GAO,8.66,,International Women's Group D Other Traditional Styles
USA,Rhonda HARJO,8.65,,International Women's Group D Other Traditional Styles
NED,Jose Ricardo Sousa,9.03,1st Category Prize,International Men's Group D Other Types of Traditional Styles
CAN,Wai Pui Chung,8.97,1st Category Prize,International Men's Group D Other Types of Traditional Styles
MAC,TIAN CHUNYANG,8.93,1st Category Prize,International Men's Group D Other Types of Traditional Styles
CHN,WANG CHAO,8.93,1st Category Prize,International Men's Group D Other Types of Traditional Styles
BRU,Li Hui,8.91,2nd Category Prize,International Men's Group D Other Types of Traditional Styles
POL,Roman Lichacz,8.89,2nd Category Prize,International Men's Group D Other Types of Traditional Styles
MAR,MOHAMED LAOUJ,8.88,2nd Category Prize,International Men's Group D Other Types of Traditional Styles
FRA,ROMERO Hrod,8.88,2nd Category Prize,International Men's Group D Other Types of Traditional Styles
BRA,Marco Antonio CARDODO,8.84,3rd Category Prize,International Men's Group D Other Types of Traditional Styles
NED,Henry Eleonora,8.81,3rd Category Prize,International Men's Group D Other Types of Traditional Styles
USA,Brandon SUGIYAMA,8.8,3rd Category Prize,International Men's Group D Other Types of Traditional Styles
JPN,HIDEAKI MURAI,8.8,3rd Category Prize,International Men's Group D Other Types of Traditional Styles
USA,Wade BLEVINS,8.8,3rd Category Prize,International Men's Group D Other Types of Traditional Styles
AUS,Ian Chan,8.78,3rd Category Prize,International Men's Group D Other Types of Traditional Styles
SRI,W.K.SARATHCHANDRA,8.77,3rd Category Prize,International Men's Group D Other Types of Traditional Styles
ECU,GERARDO RUBIO,8.7,,International Men's Group D Other Types of Traditional Styles
SRI,L.H NUWAN SANJEEWA,8.66,,International Men's Group D Other Types of Traditional Styles
SRI,K.A.KRISHANTHA,8.66,,International Men's Group D Other Types of Traditional Styles
SRI,R.K.WIJENAYAKA,8.58,,International Men's Group D Other Types of Traditional Styles
CAN,Stephan William Alexander,8.91,1st Category Prize,International Men's Group D Yongchun Quan
CAN,Henry Ging,8.85,2nd Category Prize,International Men's Group D Yongchun Quan
CAN,Ivo Guillermo Gonzalez,8.81,2nd Category Prize,International Men's Group D Yongchun Quan
CAN,David Tomlinson,8.8,3rd Category Prize,International Men's Group D Yongchun Quan
CAN,Monte Lamond Watson,8.77,3rd Category Prize,International Men's Group D Yongchun Quan
CAN,Warren Holt,8.77,3rd Category Prize,International Men's Group D Yongchun Quan
CAN,Victor Melville Lough,8.76,,International Men's Group D Yongchun Quan
CAN,Chi Hwa Tang,8.75,,International Men's Group D Yongchun Quan
CAN,Desmond Mark Lee,8.72,,International Men's Group D Yongchun Quan
CAN,Ira Charles Robinson II,8.46,,International Men's Group D Yongchun Quan
CHN,ZHANG YONGGUI,9.08,1st Category Prize,International Men's Group D Traditional Nanquan
BOL,You Huang,9.07,1st Category Prize,International Men's Group D Traditional Nanquan
GER,Sergej Merten,9.06,2nd Category Prize,International Men's Group D Traditional Nanquan
MAS,CHING FUNG TAN,9,2nd Category Prize,International Men's Group D Traditional Nanquan
MAS,MIN FEI CHONG,8.99,2nd Category Prize,International Men's Group D Traditional Nanquan
USA,Juan Carlos PROANO,8.93,2nd Category Prize,International Men's Group D Traditional Nanquan
MAS,POH CHYE CHNG,8.9,3rd Category Prize,International Men's Group D Traditional Nanquan
BRA,Jose Carlos BARBOSA,8.89,3rd Category Prize,International Men's Group D Traditional Nanquan
UKR,Shamardin Andrii,8.89,3rd Category Prize,International Men's Group D Traditional Nanquan
COL,ALVARO LEON MEDINA,8.85,3rd Category Prize,International Men's Group D Traditional Nanquan
MAS,TATT LIN ONG,8.84,3rd Category Prize,International Men's Group D Traditional Nanquan
ARG,Gustavo Guarino,8.82,3rd Category Prize,International Men's Group D Traditional Nanquan
MAS,BAN CHOON HNG,8.81,,International Men's Group D Traditional Nanquan
MAR,ABDELKADER BENGADARI,8.8,,International Men's Group D Traditional Nanquan
UKR,Chaban Serhii,8.8,,International Men's Group D Traditional Nanquan
MAS,BOO KHENG CHEONG,8.79,,International Men's Group D Traditional Nanquan
HKG,LIU Vincent,8.76,,International Men's Group D Traditional Nanquan
AUS,John Callaghan,8.75,,International Men's Group D Traditional Nanquan
PAR,Leonardo CABRERA,8.7,,International Men's Group D Traditional Nanquan
HKG,TAN Jiayi,9.04,1st Category Prize,International Women's Group B Taiji Jian
EGY,Sara Salah Mohamed Ahmed,8.93,2nd Category Prize,International Women's Group B Taiji Jian
MAC,CHIANG CHI KEI,8.89,2nd Category Prize,International Women's Group B Taiji Jian
EGY,Nour Mohamed Ibrahim Mohamed,8.88,3rd Category Prize,International Women's Group B Taiji Jian
USA,Serena LI,8.83,3rd Category Prize,International Women's Group B Taiji Jian
NED,Abigail Man,8.81,3rd Category Prize,International Women's Group B Taiji Jian
IRI,zahra rouhi,8.79,3rd Category Prize,International Women's Group B Taiji Jian
GBR,Lydia Lai Lydiate,8.77,,International Women's Group B Taiji Jian
ITA,Eleonora MOCCI,8.72,,International Women's Group B Taiji Jian
KAZ,Orlyak Anna,8.71,,International Women's Group B Taiji Jian
CAN,Claire Jie-Ching Lin,8.7,,International Women's Group B Taiji Jian
ITA,Martina MUGNAI,8.65,,International Women's Group B Taiji Jian
USA,Alexander YU,8.95,1st Category Prize,International Men's Group B Taiji Jian
EGY,Youssef Abdelrahman Ali Khalil,8.9,2nd Category Prize,International Men's Group B Taiji Jian
EGY,Ahmed Abdelrahman Ali Khalil,8.84,2nd Category Prize,International Men's Group B Taiji Jian
USA,Samuel LI,8.78,3rd Category Prize,International Men's Group B Taiji Jian
IND,ATHARV RHUSHIKESH MODAK,8.72,3rd Category Prize,International Men's Group B Taiji Jian
KUW,Abdelrahman Ibrahim REFAAT,8.71,,International Men's Group B Taiji Jian
SRI,Y.K.YOHAN CHAMIKA LOURANCE,8.71,,International Men's Group B Taiji Jian
USA,William NG,8.63,,International Men's Group B Taiji Jian
HKG,MOK Uen Ying Juanita,9.12,1st Category Prize,International Women's Group C Taiji Jian
HKG,YEUNG Debbie,9.02,1st Category Prize,International Women's Group C Taiji Jian
EGY,Salma Salah Mohamed Ahmed,8.97,2nd Category Prize,International Women's Group C Taiji Jian
JPN,MEGUMI YOSHIKAWA,8.97,2nd Category Prize,International Women's Group C Taiji Jian
HKG,WONG Wing Yan Josephine,8.9,2nd Category Prize,International Women's Group C Taiji Jian
UKR,Hanna Mandrik,8.89,2nd Category Prize,International Women's Group C Taiji Jian
RUS,Tatiana SHURMISTROVA,8.87,3rd Category Prize,International Women's Group C Taiji Jian
KAZ,Sanatkyzy Anel,8.84,3rd Category Prize,International Women's Group C Taiji Jian
ITA,Stefania GAVIANO,8.81,3rd Category Prize,International Women's Group C Taiji Jian
CZE,Jana Neradova,8.81,3rd Category Prize,International Women's Group C Taiji Jian
MAC,IAO HOI MAN,8.8,3rd Category Prize,International Women's Group C Taiji Jian
RUS,Anastasiia MITROFANOVA,8.8,3rd Category Prize,International Women's Group C Taiji Jian
POL,Anna Kubiak,8.8,3rd Category Prize,International Women's Group C Taiji Jian
AUS,Krista Brennan,8.79,,International Women's Group C Taiji Jian
ROU,Apostolache Kiss Andrea,8.78,,International Women's Group C Taiji Jian
ITA,Valentina FERRU,8.77,,International Women's Group C Taiji Jian
ITA,Alessia POMES,8.76,,International Women's Group C Taiji Jian
MEX,Pamela GUILLEN,8.75,,International Women's Group C Taiji Jian
RSA,Tarina LUYT,8.73,,International Women's Group C Taiji Jian
COL,MONICA CRUZ SANCHEZ,8.73,,International Women's Group C Taiji Jian
GER,Anke Zhang,8.71,,International Women's Group C Taiji Jian
USA,Jane HARTONO,8.68,,International Women's Group C Taiji Jian
MAC,MA WA CHIO,8.92,1st Category Prize,International Men's Group E Taiji Dao
AUS,Stephen Haochuan Lin,8.86,2nd Category Prize,International Men's Group E Taiji Dao
HKG,YEUNG Yuk Shing,8.82,3rd Category Prize,International Men's Group E Taiji Dao
USA,Richard JONES,8.77,3rd Category Prize,International Men's Group E Taiji Dao
HKG,YAU Kar Wai,8.74,,International Men's Group E Taiji Dao
RUS,Artem KOCHEMASOV,8.63,1st Category Prize,International Men's Group B Wing Chun Kune (Yongchun Quan)
RUS,Vladimir STREBKOV,8.6,2nd Category Prize,International Men's Group B Wing Chun Kune (Yongchun Quan)
RUS,Vladislav ERASTOV,8.52,3rd Category Prize,International Men's Group B Wing Chun Kune (Yongchun Quan)
UKR,Shcherbyna Danylo,8.35,3rd Category Prize,International Men's Group B Wing Chun Kune (Yongchun Quan)
UKR,Shamardin Bohdan,8.31,,International Men's Group B Wing Chun Kune (Yongchun Quan)
USA,Vincent MENG,8.75,1st Category Prize,International Men's Group C Wing Chun Kune (Yongchun Quan)
CAN,Kevin Lee,8.73,2nd Category Prize,International Men's Group C Wing Chun Kune (Yongchun Quan)
CAN,Daryl Whei Chin,8.71,2nd Category Prize,International Men's Group C Wing Chun Kune (Yongchun Quan)
CAN,Zachary James Joslin Beauchamp,8.65,3rd Category Prize,International Men's Group C Wing Chun Kune (Yongchun Quan)
COL,WILLIAM ANDRES MOLANO ANDRADE,8.64,3rd Category Prize,International Men's Group C Wing Chun Kune (Yongchun Quan)
CAN,Anthony Earl Lough,8.6,3rd Category Prize,International Men's Group C Wing Chun Kune (Yongchun Quan)
CAN,Phillip Ronald McAuliffe,8.58,,International Men's Group C Wing Chun Kune (Yongchun Quan)
CAN,Stefanos Diagoras Vriliotis,8.57,,International Men's Group C Wing Chun Kune (Yongchun Quan)
CAN,Colin Barry Young,8.55,,International Men's Group C Wing Chun Kune (Yongchun Quan)
RUS,Vadim ASTAFEV,8.83,1st Category Prize,International Men's Group C Choy Lay Fut Kune (Cailifo Quan)
BRA,Anthony da Silva CAPELAZZO,8.82,2nd Category Prize,International Men's Group C Choy Lay Fut Kune (Cailifo Quan)
BRA,Ellison de Sousa COSTA,8.81,3rd Category Prize,International Men's Group C Choy Lay Fut Kune (Cailifo Quan)
BRA,Marco Aparecido Martim JUNIOR,8.76,3rd Category Prize,International Men's Group C Choy Lay Fut Kune (Cailifo Quan)
BRA,Daniel Shinji HIRATA,8.74,,International Men's Group C Choy Lay Fut Kune (Cailifo Quan)
MAC,CHONG KENG U,8.63,,International Men's Group C Choy Lay Fut Kune (Cailifo Quan)
MAC,NG CHAN PONG,9.06,1st Category Prize,International Men's Group C Hung Gar Kune (Hongjia Quan)
MAC,LEI KEI IAN,8.85,2nd Category Prize,International Men's Group C Hung Gar Kune (Hongjia Quan)
MAC,FOK CHAN KEONG,8.8,3rd Category Prize,International Men's Group C Hung Gar Kune (Hongjia Quan)
MAC,MA CHON WONG,8.74,3rd Category Prize,International Men's Group C Hung Gar Kune (Hongjia Quan)
AUS,Kristoffer Eberius,8.73,,International Men's Group C Hung Gar Kune (Hongjia Quan)
BRU,Koh Yun C,8.76,1st Category Prize,International Women's Group B Traditional Nanquan
MAS,BELFERN LEE,8.64,1st Category Prize,International Women's Group B Traditional Nanquan
USA,Leianna YUEN,8.63,2nd Category Prize,International Women's Group B Traditional Nanquan
TPE,WU pei chen,8.62,2nd Category Prize,International Women's Group B Traditional Nanquan
POL,Emilia Marta Rychlewska,8.6,2nd Category Prize,International Women's Group B Traditional Nanquan
POL,Julia Augustyn,8.6,2nd Category Prize,International Women's Group B Traditional Nanquan
ROU,Obeanu Mara Georgia Alina,8.6,2nd Category Prize,International Women's Group B Traditional Nanquan
MAC,WONG SAM UT,8.6,2nd Category Prize,International Women's Group B Traditional Nanquan
MAS,SIN YEE OOI,8.57,3rd Category Prize,International Women's Group B Traditional Nanquan
RUS,Aleksandra MORKOVKINA,8.57,3rd Category Prize,International Women's Group B Traditional Nanquan
UKR,Shamardina Anna,8.55,,International Women's Group B Traditional Nanquan
CAN,Melody Weng,8.53,,International Women's Group B Traditional Nanquan
USA,Cameron HALE,8.51,,International Women's Group B Traditional Nanquan
IND,TRUPTI DEEPAK CHANDWADKAR,8.45,,International Women's Group B Traditional Nanquan
USA,Victoria NG,8.45,,International Women's Group B Traditional Nanquan
IRI,bahar jokar,8.45,,International Women's Group B Traditional Nanquan
TUR,Bedirhan CAPOGLU,9.03,1st Category Prize,International Men's Group B Other Traditional Nanquan
HKG,NGAN Lok Man,8.98,1st Category Prize,International Men's Group B Other Traditional Nanquan
GRE,KLAVAS GEORGIOS,8.92,2nd Category Prize,International Men's Group B Other Traditional Nanquan
USA,Nicholas LI,8.87,2nd Category Prize,International Men's Group B Other Traditional Nanquan
TPE,KUO hsuan kai,8.83,2nd Category Prize,International Men's Group B Other Traditional Nanquan
CZE,Karel Kral,8.73,2nd Category Prize,International Men's Group B Other Traditional Nanquan
USA,John HUANG,8.73,2nd Category Prize,International Men's Group B Other Traditional Nanquan
MAS,YU SHYAN TANG,8.73,2nd Category Prize,International Men's Group B Other Traditional Nanquan
BRA,Miguel de Oliveira MANACERO,8.72,3rd Category Prize,International Men's Group B Other Traditional Nanquan
MAS,WEI YE LEE,8.71,3rd Category Prize,International Men's Group B Other Traditional Nanquan
USA,Han Mingzhe LI,8.7,3rd Category Prize,International Men's Group B Other Traditional Nanquan
MAS,PEI YU TAN,8.69,,International Men's Group B Other Traditional Nanquan
SVK,Matus PRCIN,8.69,,International Men's Group B Other Traditional Nanquan
USA,Abhirup DASGUPTA,8.68,,International Men's Group B Other Traditional Nanquan
USA,Caleb YEUNG,8.68,,International Men's Group B Other Traditional Nanquan
POL,Lukasz Maslanka,8.66,,International Men's Group B Other Traditional Nanquan
CZE,Jakub Miratsky,8.66,,International Men's Group B Other Traditional Nanquan
GEO,RAULI MAMEDOVI,8.66,,International Men's Group B Other Traditional Nanquan
RUS,Tatiana IVSHINA,9.14,1st Category Prize,International Women's Group C Traditional Nanquan
HKG,LOR Sum Lok Holly,9,1st Category Prize,International Women's Group C Traditional Nanquan
HKG,YUEN Ka Ying,8.95,2nd Category Prize,International Women's Group C Traditional Nanquan
UKR,OLENA BILA,8.9,2nd Category Prize,International Women's Group C Traditional Nanquan
USA,Queenie LI,8.78,2nd Category Prize,International Women's Group C Traditional Nanquan
MAS,PEI CHEE LAI,8.76,2nd Category Prize,International Women's Group C Traditional Nanquan
MAC,HAO LEI U,8.76,2nd Category Prize,International Women's Group C Traditional Nanquan
CZE,Veronika Partikova,8.72,3rd Category Prize,International Women's Group C Traditional Nanquan
MAC,CHU HIO IAN,8.7,3rd Category Prize,International Women's Group C Traditional Nanquan
POL,Katarzyna Migdal,8.69,3rd Category Prize,International Women's Group C Traditional Nanquan
MAS,SOO LING KEE,8.67,3rd Category Prize,International Women's Group C Traditional Nanquan
USA,Justine AGALOOS,8.66,3rd Category Prize,International Women's Group C Traditional Nanquan
CZE,Alzbeta Rouzkova,8.66,3rd Category Prize,International Women's Group C Traditional Nanquan
BRA,Tamiris de Moraes KATO,8.61,,International Women's Group C Traditional Nanquan
IND,KARAMJIT KAUR,8.6,,International Women's Group C Traditional Nanquan
RSA,Mohomotji Mapudi MARISHANE,8.59,,International Women's Group C Traditional Nanquan
BOL,Wanda Huang Calla,8.58,,International Women's Group C Traditional Nanquan
COL,MAIRA PAMELA GONZALEZ SIERRA,8.56,,International Women's Group C Traditional Nanquan
RUS,Anastasiia MITROFANOVA,8.55,,International Women's Group C Traditional Nanquan
HKG,ZHU Yuanpeng,9.16,1st Category Prize,International Men's Group C Other Nanquan
HKG,LEE Chun Pong Bruce,9.15,1st Category Prize,International Men's Group C Other Nanquan
USA,Alex TRAN,9.14,1st Category Prize,International Men's Group C Other Nanquan
RUS,Artem ALTYSHEV,9.13,2nd Category Prize,International Men's Group C Other Nanquan
POL,Tomasz Bilut,8.92,2nd Category Prize,International Men's Group C Other Nanquan
MAS,KAH JOON KOO,8.87,2nd Category Prize,International Men's Group C Other Nanquan
TJK,KHURSHDZODA MIRZODALERKHON,8.85,3rd Category Prize,International Men's Group C Other Nanquan
HKG,SUEN Hung Kong,8.8,3rd Category Prize,International Men's Group C Other Nanquan
MAS,HENG XIAN LEE,8.78,3rd Category Prize,International Men's Group C Other Nanquan
MAS,YU WAI LIN,8.78,3rd Category Prize,International Men's Group C Other Nanquan
YEM,BASSAM AHMED LWZA,8.77,3rd Category Prize,International Men's Group C Other Nanquan
SRI,P.JEEWAN MADURANGA,8.76,3rd Category Prize,International Men's Group C Other Nanquan
AUS,Mitchell Chiew,8.75,,International Men's Group C Other Nanquan
AUS,Gee Jhung Siu,8.71,,International Men's Group C Other Nanquan
MAS,HONG CHUN LEE,8.7,,International Men's Group C Other Nanquan
USA,Brian HUTCHINSON,8.67,,International Men's Group C Other Nanquan
HKG,LI Kwai Yuen,8.66,,International Men's Group C Other Nanquan
MAS,CHUN ONN LIAU,8.63,,International Men's Group C Other Nanquan
IND,AYUSH SHARMA,8.6,,International Men's Group C Other Nanquan
IND,PRASHANT BALAKU GAIKWAD,8.31,,International Men's Group C Other Nanquan
HKG,YEUNG Michelle,8.91,1st Category Prize,International Women's Group B Dao (Broadsword)
RUS,Kamila IMANGULOVA,8.88,2nd Category Prize,International Women's Group B Dao (Broadsword)
MAS,SHAFEI LEE,8.77,2nd Category Prize,International Women's Group B Dao (Broadsword)
CAN,Lissy Liu,8.75,3rd Category Prize,International Women's Group B Dao (Broadsword)
USA,Tori MATULA,8.67,3rd Category Prize,International Women's Group B Dao (Broadsword)
USA,Shining XI,8.55,3rd Category Prize,International Women's Group B Dao (Broadsword)
FRA,TROLEZ Camille,8.45,,International Women's Group B Dao (Broadsword)
FRA,SOUMACHE Colette,8.43,,International Women's Group B Dao (Broadsword)
SRI,A.V.AKESHA DE SILVA,8.42,,International Women's Group B Dao (Broadsword)
FRA,GAY Lauranne,8.4,,International Women's Group B Dao (Broadsword)
TPE,LIU chang min,8.9,1st Category Prize,International Men's Group B Dao (Broadsword)
RUS,Vladimir KAMASHEV,8.87,1st Category Prize,International Men's Group B Dao (Broadsword)
RUS,Artem KOCHEMASOV,8.85,2nd Category Prize,International Men's Group B Dao (Broadsword)
ITA,Michele Stefano RUPPOLO,8.78,2nd Category Prize,International Men's Group B Dao (Broadsword)
BRU,Ericsson Bong Cheng Loong,8.77,2nd Category Prize,International Men's Group B Dao (Broadsword)
KAZ,Rustamov Attila,8.76,3rd Category Prize,International Men's Group B Dao (Broadsword)
MEX,Adrian TEYECHEA L,8.75,3rd Category Prize,International Men's Group B Dao (Broadsword)
USA,Ean BENNETT,8.7,3rd Category Prize,International Men's Group B Dao (Broadsword)
USA,John HUANG,8.67,3rd Category Prize,International Men's Group B Dao (Broadsword)
ITA,Patrizio MAIORANO,8.66,3rd Category Prize,International Men's Group B Dao (Broadsword)
MEX,Raul GUTIERREZ,8.63,,International Men's Group B Dao (Broadsword)
USA,Tyler MALLORY,8.62,,International Men's Group B Dao (Broadsword)
CZE,Karel Kral,8.55,,International Men's Group B Dao (Broadsword)
MEX,Enrique TEYECHEA,8.51,,International Men's Group B Dao (Broadsword)
SRI,H.G.T.S SAMARAKOON,8.35,,International Men's Group B Dao (Broadsword)
FRA,SOUMACHE Lancelot,8.31,,International Men's Group B Dao (Broadsword)
TPE,WU chia hsin,8.91,1st Category Prize,International Women's Group C Dao (Broadsword)
RUS,Elena VASENINA,8.9,2nd Category Prize,International Women's Group C Dao (Broadsword)
RUS,Iuliia TIMIRKINA,8.84,2nd Category Prize,International Women's Group C Dao (Broadsword)
BRA,Raquel dos Santos ARAUJO,8.74,3rd Category Prize,International Women's Group C Dao (Broadsword)
HKG,NG WONG Jenny,8.67,3rd Category Prize,International Women's Group C Dao (Broadsword)
ITA,Alessia TARTUFOLI,8.65,3rd Category Prize,International Women's Group C Dao (Broadsword)
KGZ,Liubov SERIAKOVA,8.59,,International Women's Group C Dao (Broadsword)
JPN,MIHARU TAKEUCHI,8.56,,International Women's Group C Dao (Broadsword)
BRA,Cristiane Aparecida SIMAO,8.53,,International Women's Group C Dao (Broadsword)
COL,PAULA ANDREA LOTERO GARNICA,8.46,,International Women's Group C Dao (Broadsword)
MAC,TIAN CHUNYANG,9.1,1st Category Prize,International Men's Group D Dao (Broadsword)
CHN,ZHANG KAI,9.1,1st Category Prize,International Men's Group D Dao (Broadsword)
JPN,KENSUKE SAKAI,8.91,3rd Category Prize,International Men's Group D Dao (Broadsword)
CAN,Wai Pui Chung,8.85,3rd Category Prize,International Men's Group D Dao (Broadsword)
SUI,Alexandre Yvan MATHYS,8.84,,International Men's Group D Dao (Broadsword)
JPN,YOSHIHIRO NISHIKAWA,8.7,,International Men's Group D Dao (Broadsword)
ECU,GERARDO RUBIO,8.61,,International Men's Group D Dao (Broadsword)
EGY,Hesham Nabil Abdelnabi Mohamed,9.15,1st Category Prize,International Men's Group C Taiji Jian
HKG,SAT Pak Long,9.01,1st Category Prize,International Men's Group C Taiji Jian
EGY,Mohamed nagi Ali Mohamed,8.95,2nd Category Prize,International Men's Group C Taiji Jian
MAC,LI SHAOYUE,8.95,2nd Category Prize,International Men's Group C Taiji Jian
HKG,YEUNG Chung Hei,8.94,2nd Category Prize,International Men's Group C Taiji Jian
RUS,Vasilii KISLITCYN,8.92,2nd Category Prize,International Men's Group C Taiji Jian
ESP,DAVID MARTIN ALCALDE,8.91,2nd Category Prize,International Men's Group C Taiji Jian
KAZ,Yedilbayev Askarbay,8.9,3rd Category Prize,International Men's Group C Taiji Jian
MAC,WONG IOK LAM,8.89,3rd Category Prize,International Men's Group C Taiji Jian
ITA,Gianluigi BISONI,8.86,3rd Category Prize,International Men's Group C Taiji Jian
ROU,Claudiu Mihaila,8.82,3rd Category Prize,International Men's Group C Taiji Jian
AUS,Mitchell Brown,8.81,3rd Category Prize,International Men's Group C Taiji Jian
UKR,Maksym Kolotilkin,8.79,3rd Category Prize,International Men's Group C Taiji Jian
CZE,Jiri Hauska,8.78,3rd Category Prize,International Men's Group C Taiji Jian
USA,Cheng ZHANG,8.76,,International Men's Group C Taiji Jian
IRI,seyed hamed katouzi,8.76,,International Men's Group C Taiji Jian
KUW,Fahd A ALAJMI,8.75,,International Men's Group C Taiji Jian
GER,Marc Koesling,8.73,,International Men's Group C Taiji Jian
HKG,SO King Ho,8.73,,International Men's Group C Taiji Jian
FRA,REYNIER Martin,8.72,,International Men's Group C Taiji Jian
RSA,Thomas WIID,8.71,,International Men's Group C Taiji Jian
IRI,shahriar ghasemipour nikbin,8.69,,International Men's Group C Taiji Jian
ESP,MARIO SIMON GARCIA,8.68,,International Men's Group C Taiji Jian
USA,Xue Ming HUIE,9.05,1st Category Prize,International Women's Group D Taiji Jian
USA,Haojie WU,8.99,1st Category Prize,International Women's Group D Taiji Jian
JPN,YOSHIE SATO,8.97,1st Category Prize,International Women's Group D Taiji Jian
JPN,MINA MORIOKA,8.95,1st Category Prize,International Women's Group D Taiji Jian
NZL,Diana Kam Yoke Lau,8.92,1st Category Prize,International Women's Group D Taiji Jian
JPN,YUKIKO YAMAJI,8.91,1st Category Prize,International Women's Group D Taiji Jian
AUS,Sally Yanhui Lin,8.91,1st Category Prize,International Women's Group D Taiji Jian
HKG,SENG Choa Ee Tricia,8.9,2nd Category Prize,International Women's Group D Taiji Jian
USA,Vicki ARMES,8.9,2nd Category Prize,International Women's Group D Taiji Jian
JPN,MASAMI SUETSUGU,8.84,2nd Category Prize,International Women's Group D Taiji Jian
JPN,TAMAKO MURATA,8.82,2nd Category Prize,International Women's Group D Taiji Jian
JPN,MIYUKI ITO,8.81,2nd Category Prize,International Women's Group D Taiji Jian
HKG,NG Mei Kuen,8.8,2nd Category Prize,International Women's Group D Taiji Jian
JPN,YOKO UKAI,8.8,2nd Category Prize,International Women's Group D Taiji Jian
JPN,NORIKO KAMATA,8.79,2nd Category Prize,International Women's Group D Taiji Jian
RUS,Irina EVSTIGNEEVA,8.79,2nd Category Prize,International Women's Group D Taiji Jian
JPN,YASUYO ATSUMI,8.78,2nd Category Prize,International Women's Group D Taiji Jian
JPN,YU NAKAGAWA,8.78,2nd Category Prize,International Women's Group D Taiji Jian
