Team,Athlete,Score,Form
USA,Aaron KEYS,8.85,Men's Group D Other Types of Traditional Styles
TUN,Yassine HADDAD,8.85,Men's Group D Other Types of Traditional Styles
BRA,Joao Francisco DINIZ FILHO,8.84,Men's Group D Other Types of Traditional Styles
BRA,Estevao Calebe ALMEIDA VILAS BOAS,8.83,Men's Group D Other Types of Traditional Styles
USA,Andy ZOU,8.83,Men's Group D Other Types of Traditional Styles
BRA,Amyr FURLAN DA CUNHA,8.82,Men's Group D Other Types of Traditional Styles
USA,Srinivas Brinda BALAGOPAL,8.82,Men's Group D Other Types of Traditional Styles
BRA,Henrique NUNES SANTANA,8.81,Men's Group D Other Types of Traditional Styles
SGP,Kuek Wei Jie KUEK,8.76,Men's Group D Other Types of Traditional Styles
SGP,Ho Kai Leong HO,8.75,Men's Group D Other Types of Traditional Styles
PER,Leonardo Hernan SANCHEZ LAURA,8.73,Men's Group D Other Types of Traditional Styles
USA,Andrew TAN,8.71,Men's Group D Other Types of Traditional Styles
USA,Nathan LAM,8.71,Men's Group D Other Types of Traditional Styles
BRA,Ian Godel MESQUITA SCHRADER,8.69,Men's Group D Other Types of Traditional Styles
SRI,Shan Nethmina KASTHURI ARACHCHIGE,8.65,Men's Group D Other Types of Traditional Styles
CHN,Fu Kui LI,,Men's Group D Other Types of Traditional Styles
TUN,Omar BETTAYEB,,Men's Group D Other Types of Traditional Styles
RUS,Dmitrii TIUNOV,9.15,Men's Group D Pudao
UKR,Roman REVA,9.04,Men's Group D Pudao
PER,Martin Xiangdong HUANG HERMIDA,9.01,Men's Group D Pudao
ITA,Angelo DAMASCO,8.92,Men's Group D Pudao
BRA,Miguel DE OLIVEIRA MANACERO,8.88,Men's Group D Pudao
USA,Ian WONG,8.83,Men's Group D Pudao
USA,Nathan LAM,8.81,Men's Group D Pudao
SVK,Peter KYSEL,8.65,Men's Group D Pudao
TUN,Omar BETTAYEB,,Men's Group D Pudao
MAC,Chan Pong NG,9.06,Men's Group D Qiang (Spear)
MAC,Chon Wong MA,9.05,Men's Group D Qiang (Spear)
EGY,Ahmed ABDOU,9,Men's Group D Qiang (Spear)
USA,Ryan WONG,8.9,Men's Group D Qiang (Spear)
SGP,Kuek Wei Jie KUEK,8.84,Men's Group D Qiang (Spear)
BRA,Joao Francisco DINIZ FILHO,8.82,Men's Group D Qiang (Spear)
ALG,Belghazi ZINE EL ABIDINE,8.81,Men's Group D Qiang (Spear)
BRA,Iuri BORGES COUTINHO GALLO,8.8,Men's Group D Qiang (Spear)
PAK,Muhammad Abdul REHMAN,,Men's Group D Qiang (Spear)
UKR,Roman REVA,9.11,Men's Group D Shaolin Quan
RUS,Ilya LITVINCHUK,9.1,Men's Group D Shaolin Quan
PER,Ricardo Andre VELASQUEZ BALTA,9.08,Men's Group D Shaolin Quan
ARG,Nelso Cesar CARELLA,9.01,Men's Group D Shaolin Quan
TPE,I Lun CHEN,9,Men's Group D Shaolin Quan
TJK,Mirzodalerkhon KHURSHEDZODA,9,Men's Group D Shaolin Quan
CHI,Ariel MANCILLA BARRIENTOS,8.91,Men's Group D Shaolin Quan
ITA,Angelo DAMASCO,8.91,Men's Group D Shaolin Quan
KAZ,Alexey BABENKO,8.9,Men's Group D Shaolin Quan
ROU,Mihai IOANA,8.87,Men's Group D Shaolin Quan
USA,Ryan WONG,8.85,Men's Group D Shaolin Quan
UKR,Artem HASHCHUK,8.83,Men's Group D Shaolin Quan
USA,Alan TENG,8.81,Men's Group D Shaolin Quan
BRA,Giovane Ricardo CINTRA,8.81,Men's Group D Shaolin Quan
BRA,Fabricio OSAKU,8.8,Men's Group D Shaolin Quan
ITA,Francesco Daniel COSENTINO,8.8,Men's Group D Shaolin Quan
USA,Cody FONG,8.8,Men's Group D Shaolin Quan
AUS,Timothy HONDROUDAKIS,8.78,Men's Group D Shaolin Quan
FRA,Nicolas GU,8.77,Men's Group D Shaolin Quan
TJK,Muhammadkhoja AHMADOV,8.77,Men's Group D Shaolin Quan
BRA,Eduardo DE SOUZA LIMA,8.75,Men's Group D Shaolin Quan
ITA,Davide FIRINU,,Men's Group D Shaolin Quan
UKR,Viacheslav KRYSKO,9.2,Men's Group D Shuang Dao (Double Broadsword)
MAC,Ka Seng LAM,9.02,Men's Group D Shuang Dao (Double Broadsword)
PER,Ricardo Andre VELASQUEZ BALTA,9.01,Men's Group D Shuang Dao (Double Broadsword)
USA,Andy ZOU,8.94,Men's Group D Shuang Dao (Double Broadsword)
BRA,Caio FERNANDES MARTINES,8.9,Men's Group D Shuang Dao (Double Broadsword)
SVK,Michal REPCIK,8.8,Men's Group D Shuang Dao (Double Broadsword)
RUS,Andrey MORKOVKIN,8.96,Men's Group D Wing Chun Kune (Yongchun Quan)
HKG,James Lawrence YUEN,8.95,Men's Group D Wing Chun Kune (Yongchun Quan)
RUS,Andrei NIKITIN,8.87,Men's Group D Wing Chun Kune (Yongchun Quan)
GEO,Beka ZHORZHOLADZE,8.83,Men's Group D Wing Chun Kune (Yongchun Quan)
ALG,Arab AZEDINE,8.8,Men's Group D Wing Chun Kune (Yongchun Quan)
COL,William Andres MOLANO ANDRADE,8.79,Men's Group D Wing Chun Kune (Yongchun Quan)
UKR,Yurii HALKIN,8.79,Men's Group D Wing Chun Kune (Yongchun Quan)
EGY,Nasr Ibrahim Tawfik Mosaad SALEM,8.78,Men's Group D Wing Chun Kune (Yongchun Quan)
SRI,Mohamed Nusky MOHAMED FAIZER,8.74,Men's Group D Wing Chun Kune (Yongchun Quan)
IND,Nitish Kumar BARMAN,,Men's Group D Wing Chun Kune (Yongchun Quan)
IND,Tarun NAMDEO,,Men's Group D Wing Chun Kune (Yongchun Quan)
IND,Ajay VERMA,,Men's Group D Wing Chun Kune (Yongchun Quan)
IND,VERMA AJAY,,Men's Group D Wing Chun Kune (Yongchun Quan)
CHN,Ju Tian ZHENG,9.2,Men's Group D Xingyi Quan
RUS,Oleg KHANDESHIN,9.04,Men's Group D Xingyi Quan
ITA,Ivo ZEDDA,8.86,Men's Group D Xingyi Quan
CHI,Rafael Ignacio NUNEZ ALARCON,8.86,Men's Group D Xingyi Quan
TUN,Mohamed DAADAA,8.75,Men's Group D Xingyi Quan
ALG,Bouhamidane AHMED,,Men's Group D Xingyi Quan
RUS,Natig VELIEV,8.81,Men's Group E 42 Posture Taiji Jian
HKG,Kwong Choi TSANG,8.69,Men's Group E 42 Posture Taiji Jian
SRI,Sarathchandra WELIKUMBURE KATTADIGE,8.68,Men's Group E 42 Posture Taiji Jian
HKG,Yiu Chung FUNG,8.65,Men's Group E 42 Posture Taiji Jian
HKG,Pak Kei Vincent KAN,8.61,Men's Group E 42 Posture Taiji Jian
HKG,Hon Pong Ronney NGAN,8.55,Men's Group E 42 Posture Taiji Jian
JPN,Mitomi SHIMOKAWA,8.99,Men's Group E 42 Posture Taijiquan
RUS,Natig VELIEV,8.83,Men's Group E 42 Posture Taijiquan
FRA,Laurent JOLY,8.8,Men's Group E 42 Posture Taijiquan
HKG,Hung CHEUNG,8.79,Men's Group E 42 Posture Taijiquan
BRA,Hemerson CARVALHO DE OLIVEIRA,8.74,Men's Group E 42 Posture Taijiquan
SRI,Sarathchandra WELIKUMBURE KATTADIGE,8.71,Men's Group E 42 Posture Taijiquan
USA,Matthew ROSS,8.68,Men's Group E 42 Posture Taijiquan
USA,Bo LI,,Men's Group E 42 Posture Taijiquan
BRA,Eronaldo SOARES DA SILVA,,Men's Group E 42 Posture Taijiquan
LAT,Romans VLASENKO,8.91,Men's Group E Chen Style Taiji Jian
USA,Xinli TAN,8.88,Men's Group E Chen Style Taiji Jian
CZE,Jiri HAUSKA,8.84,Men's Group E Chen Style Taiji Jian
RUS,Edgar TOBUKOV,8.82,Men's Group E Chen Style Taiji Jian
MAC,Kun Long LOK,8.77,Men's Group E Chen Style Taiji Jian
RUS,Aleksandr KUPOREV,8.76,Men's Group E Chen Style Taiji Jian
USA,Cheng ZHANG,8.72,Men's Group E Chen Style Taiji Jian
SGP,Loh Leong Sin LOH,8.71,Men's Group E Chen Style Taiji Jian
SGP,Hazel Ng Hwee Chu NG,,Men's Group E Chen Style Taiji Jian
CHN,Bao Zeng WANG,9.22,Men's Group E Gun (Cudgel/Staff)
MAS,Chin Chee LEE,9.11,Men's Group E Gun (Cudgel/Staff)
USA,Yu-neng YEH,8.77,Men's Group E Gun (Cudgel/Staff)
COL,Alvaro LEON MEDINA,8.74,Men's Group E Gun (Cudgel/Staff)
FRA,Aton SOUMACHE,8.66,Men's Group E Gun (Cudgel/Staff)
SRI,Krishantha KASTHURI ARACHCHIGE,8.45,Men's Group E Gun (Cudgel/Staff)
ROU,Florin IOANA,,Men's Group E Gun (Cudgel/Staff)
CHN,Zhen Zhong ZHAO,9.16,Men's Group E Jian (Straight Sword)
UKR,Oleksandr PEREBERIN,9.04,Men's Group E Jian (Straight Sword)
USA,Brandon SUGIYAMA,8.97,Men's Group E Jian (Straight Sword)
RUS,Mikhail NATURALNYY,8.87,Men's Group E Jian (Straight Sword)
GER,Dmitri TOROPOV,8.73,Men's Group E Jian (Straight Sword)
GEO,David BEZHASHVILI,,Men's Group E Jian (Straight Sword)
HKG,Yuk Tong JIM,,Men's Group E Jian (Straight Sword)
TJK,Mirzoibrogim IBROGIMOV,,Men's Group E Jian (Straight Sword)
CHN,Chun Yan SUN,9.2,Men's Group E Other Taiji Jian
MAC,Chunyang TIAN,8.96,Men's Group E Other Taiji Jian
ALG,Ait-zerrouk KARIM,8.84,Men's Group E Other Taiji Jian
ITA,Alessandro MONTESU,8.78,Men's Group E Other Taiji Jian
GEO,Lasha SUMBULASHVILI,8.71,Men's Group E Other Taiji Jian
USA,Mark RINKERMAN,8.66,Men's Group E Other Taiji Jian
BRA,Hemerson CARVALHO DE OLIVEIRA,8.62,Men's Group E Other Taiji Jian
BRU,Wing Hoe CHAN,8.54,Men's Group E Other Taiji Jian
FRA,Stephanie TROLEZ,,Men's Group E Other Taiji Jian
USA,Bo LI,,Men's Group E Other Taiji Jian
BRA,Eronaldo SOARES DA SILVA,,Men's Group E Other Taiji Jian
ROU,Claudiu MIHAILA,8.95,Men's Group E Other Taiji Weapon
JPN,Mitomi SHIMOKAWA,8.91,Men's Group E Other Taiji Weapon
AUS,Sherman Shu Hang MAK,8.89,Men's Group E Other Taiji Weapon
AUS,Laurence WILKINS,8.84,Men's Group E Other Taiji Weapon
NED,Douwe GELUK,8.78,Men's Group E Other Taiji Weapon
ESP,Raul LOPEZ MORENO,8.76,Men's Group E Other Taiji Weapon
CAN,Xu ZHOU,8.72,Men's Group E Other Taiji Weapon
USA,Matthew ROSS,8.68,Men's Group E Other Taiji Weapon
JPN,Tadashi FUKUNISHI,8.5,Men's Group E Other Taiji Weapon
CHN,Chun Yan SUN,9.1,Men's Group E Other Taijiquan
LAT,Romans VLASENKO,8.97,Men's Group E Other Taijiquan
MAC,Kun Long LOK,8.94,Men's Group E Other Taijiquan
USA,Xinli TAN,8.91,Men's Group E Other Taijiquan
HKG,Yuk Tong JIM,8.84,Men's Group E Other Taijiquan
MAC,Chunyang TIAN,8.83,Men's Group E Other Taijiquan
GER,Dmitri TOROPOV,8.81,Men's Group E Other Taijiquan
ITA,Alessandro MONTESU,8.81,Men's Group E Other Taijiquan
USA,Mark RINKERMAN,8.79,Men's Group E Other Taijiquan
NED,Douwe GELUK,8.73,Men's Group E Other Taijiquan
BRU,Wing Hoe CHAN,8.7,Men's Group E Other Taijiquan
SRI,Vijith Priyantha Edirisingha EDIRISINGHA ARACHCHILLAGE,,Men's Group E Other Taijiquan
CHN,Kai ZHANG,9.14,Men's Group E Other Traditional Single Weapons
MAS,Ching Fung TAN,9.05,Men's Group E Other Traditional Single Weapons
FRA,Hrod ROMERO,8.95,Men's Group E Other Traditional Single Weapons
RUS,Vadim ASTAFEV,8.93,Men's Group E Other Traditional Single Weapons
USA,Christopher Roy SHEPHERD,8.9,Men's Group E Other Traditional Single Weapons
NZL,Lei YANG,8.89,Men's Group E Other Traditional Single Weapons
MAS,Hing How CHOO,8.86,Men's Group E Other Traditional Single Weapons
BRA,Carlos Andre SOUZA FEITOSA,8.85,Men's Group E Other Traditional Single Weapons
FRA,Laurent JOLY,8.84,Men's Group E Other Traditional Single Weapons
JPN,Kensuke SAKAI,8.8,Men's Group E Other Traditional Single Weapons
SVK,Peter KYSEL,8.79,Men's Group E Other Traditional Single Weapons
COL,Victor Luis PIMENTEL INOJOSA,8.74,Men's Group E Other Traditional Single Weapons
TUN,Othman HAMLI,8.73,Men's Group E Other Traditional Single Weapons
CHN,Guo Xiang GAO,,Men's Group E Other Traditional Single Weapons
ROU,Mihai SERBANESCU,8.89,Men's Group E Other Traditional Weapon
ESP,Vicente Miguel RAJA CATALA,8.8,Men's Group E Other Traditional Weapon
BRA,Jaime Cesar TAI,8.78,Men's Group E Other Traditional Weapon
FRA,Laurent PIAULT,8.77,Men's Group E Other Traditional Weapon
UKR,Shamardin ANDRII,8.75,Men's Group E Other Traditional Weapon
SRI,Nuwan Sanjeewa LORENSU HEWAGE,8.66,Men's Group E Other Traditional Weapon
BRA,Edson Afonso SERAFIM,,Men's Group E Other Traditional Weapon
CHN,Guo Xiang GAO,9.09,Men's Group E Other Types of Traditional Styles
MAS,Chin Chee LEE,8.95,Men's Group E Other Types of Traditional Styles
USA,Brandon SUGIYAMA,8.88,Men's Group E Other Types of Traditional Styles
UKR,Oleksandr PEREBERIN,8.85,Men's Group E Other Types of Traditional Styles
NZL,Lei YANG,8.83,Men's Group E Other Types of Traditional Styles
FRA,Hrod ROMERO,8.81,Men's Group E Other Types of Traditional Styles
AUS,Sherman Shu Hang MAK,8.77,Men's Group E Other Types of Traditional Styles
ARG,Juan Antonio GIMENEZ SOSA,8.76,Men's Group E Other Types of Traditional Styles
MAS,Hing How CHOO,8.75,Men's Group E Other Types of Traditional Styles
AUS,Laurence WILKINS,8.74,Men's Group E Other Types of Traditional Styles
TUN,Othman HAMLI,8.72,Men's Group E Other Types of Traditional Styles
SVK,Peter KYSEL,8.71,Men's Group E Other Types of Traditional Styles
BRA,Jaime Cesar TAI,8.67,Men's Group E Other Types of Traditional Styles
SRI,Nuwan Sanjeewa LORENSU HEWAGE,8.65,Men's Group E Other Types of Traditional Styles
SRI,Krishantha KASTHURI ARACHCHIGE,8.61,Men's Group E Other Types of Traditional Styles
TJK,Mirzoibrogim IBROGIMOV,,Men's Group E Other Types of Traditional Styles
GEO,David BEZHASHVILI,,Men's Group E Other Types of Traditional Styles
CHN,Kai ZHANG,,Men's Group E Other Types of Traditional Styles
CHN,Zhen Zhong ZHAO,,Men's Group E Other Types of Traditional Styles
RUS,Mikhail NATURALNYY,,Men's Group E Other Types of Traditional Styles
IND,Karunagaran KOTHANDARAMAN,,Men's Group E Other Types of Traditional Styles
CHN,Bao Zeng WANG,9.17,Men's Group E Shaolin Quan
USA,Christopher Roy SHEPHERD,8.96,Men's Group E Shaolin Quan
JPN,Tadashi FUKUNISHI,8.87,Men's Group E Shaolin Quan
ESP,Vicente Miguel RAJA CATALA,8.86,Men's Group E Shaolin Quan
BRA,Carlos Andre SOUZA FEITOSA,8.85,Men's Group E Shaolin Quan
JPN,Kensuke SAKAI,8.82,Men's Group E Shaolin Quan
FRA,Laurent PIAULT,8.8,Men's Group E Shaolin Quan
FRA,Aton SOUMACHE,8.76,Men's Group E Shaolin Quan
ROU,Florin IOANA,8.75,Men's Group E Shaolin Quan
RUS,Vadim ASTAFEV,8.96,Men's Group E Southern Styles Nanquan
UKR,Shamardin ANDRII,8.79,Men's Group E Southern Styles Nanquan
COL,Victor Luis PIMENTEL INOJOSA,8.78,Men's Group E Southern Styles Nanquan
USA,Yu-neng YEH,8.77,Men's Group E Southern Styles Nanquan
IND,Manoj GUPTA,8.76,Men's Group E Southern Styles Nanquan
MAS,Ching Fung TAN,8.76,Men's Group E Southern Styles Nanquan
COL,Alvaro LEON MEDINA,8.71,Men's Group E Southern Styles Nanquan
CHI,Marcos Enrique CHAVEZ MARDONES,7.71,Men's Group E Southern Styles Nanquan
BRA,Edson Afonso SERAFIM,,Men's Group E Southern Styles Nanquan
COL,Luis Fernando SANTACRUZ KRYSHEK,,Men's Group E Southern Styles Nanquan
ROU,Claudiu MIHAILA,8.95,Men's Group E Traditional Chen Style Taijiquan
USA,Cheng ZHANG,8.91,Men's Group E Traditional Chen Style Taijiquan
RUS,Edgar TOBUKOV,8.82,Men's Group E Traditional Chen Style Taijiquan
CZE,Jiri HAUSKA,8.82,Men's Group E Traditional Chen Style Taijiquan
CAN,Xu ZHOU,8.81,Men's Group E Traditional Chen Style Taijiquan
HKG,King Ho SO,8.8,Men's Group E Traditional Chen Style Taijiquan
RUS,Aleksandr KUPOREV,8.79,Men's Group E Traditional Chen Style Taijiquan
SGP,Loh Leong Sin LOH,8.76,Men's Group E Traditional Chen Style Taijiquan
GEO,Lasha SUMBULASHVILI,8.76,Men's Group E Traditional Chen Style Taijiquan
SGP,Hazel Ng Hwee Chu NG,,Men's Group E Traditional Chen Style Taijiquan
HKG,Kam Chi TAM,9,Men's Group E Yang Style Taijiquan
ALG,Ait-zerrouk KARIM,8.91,Men's Group E Yang Style Taijiquan
AUS,Mitchell Alexander Leon BROWN,8.9,Men's Group E Yang Style Taijiquan
HKG,Kim Tong MOK,8.87,Men's Group E Yang Style Taijiquan
POL,Tomasz Jacek DYBICZ,8.84,Men's Group E Yang Style Taijiquan
ESP,Raul LOPEZ MORENO,8.82,Men's Group E Yang Style Taijiquan
HKG,Yiu Chung FUNG,8.8,Men's Group E Yang Style Taijiquan
HKG,Kwong Choi TSANG,8.79,Men's Group E Yang Style Taijiquan
HKG,Wai Hung YIU,8.76,Men's Group E Yang Style Taijiquan
HKG,Hon Pong Ronney NGAN,8.74,Men's Group E Yang Style Taijiquan
HKG,Pak Kei Vincent KAN,8.74,Men's Group E Yang Style Taijiquan
HKG,Wai Lap MOY,8.72,Men's Group E Yang Style Taijiquan
AUS,Cheung- Tak Gareth HO,8.72,Men's Group E Yang Style Taijiquan
HKG,Tai Wai WONG,8.71,Men's Group E Yang Style Taijiquan
MAS,Sze Kiat SIM,8.71,Men's Group E Yang Style Taijiquan
FRA,Stephanie TROLEZ,,Men's Group E Yang Style Taijiquan
HKG,Kam Chi TAM,8.94,Men's Group E Yang StyleTaiji Jian
AUS,Mitchell Alexander Leon BROWN,8.86,Men's Group E Yang StyleTaiji Jian
HKG,King Ho SO,8.85,Men's Group E Yang StyleTaiji Jian
POL,Tomasz Jacek DYBICZ,8.82,Men's Group E Yang StyleTaiji Jian
HKG,Hung CHEUNG,8.81,Men's Group E Yang StyleTaiji Jian
HKG,Kim Tong MOK,8.76,Men's Group E Yang StyleTaiji Jian
MAS,Sze Kiat SIM,8.72,Men's Group E Yang StyleTaiji Jian
HKG,Wai Hung YIU,8.69,Men's Group E Yang StyleTaiji Jian
HKG,Tai Wai WONG,8.62,Men's Group E Yang StyleTaiji Jian
AUS,Cheung- Tak Gareth HO,8.61,Men's Group E Yang StyleTaiji Jian
HKG,Wai Lap MOY,8.6,Men's Group E Yang StyleTaiji Jian
CAN,Ming ZHU,8.85,Men's Group F Other Style Taiji Weapon
CAN,Raymond Kin Keung MA,8.77,Men's Group F Other Style Taiji Weapon
USA,Nicholas LEHMANN,8.68,Men's Group F Other Style Taiji Weapon
CAN,Rex Kit Ming LAU,8.64,Men's Group F Other Style Taiji Weapon
CAN,Weston David BENJAMIN,8.63,Men's Group F Other Style Taiji Weapon
USA,Wei SUN,8.63,Men's Group F Other Style Taiji Weapon
BRU,Yew Pin KONG,8.61,Men's Group F Other Style Taiji Weapon
JPN,Masaki KAWASAKI,8.57,Men's Group F Other Style Taiji Weapon
BRU,Chung Heng WOO,8.56,Men's Group F Other Style Taiji Weapon
HKG,Ka Keung LAM,8.56,Men's Group F Other Style Taiji Weapon
USA,Richard C JONES,,Men's Group F Other Style Taiji Weapon
BRU,Yun Chong LEONG,,Men's Group F Other Style Taiji Weapon
CAN,Raymond Kin Keung MA,8.98,Men's Group F Other Traditional Taijiquan
CAN,Ming ZHU,8.92,Men's Group F Other Traditional Taijiquan
MAC,Wa Chio MA,8.91,Men's Group F Other Traditional Taijiquan
HKG,Chi Man TAM,8.87,Men's Group F Other Traditional Taijiquan
USA,Nicholas LEHMANN,8.82,Men's Group F Other Traditional Taijiquan
JPN,Masaki KAWASAKI,8.8,Men's Group F Other Traditional Taijiquan
JPN,Haruyuki MIYANAGA,8.77,Men's Group F Other Traditional Taijiquan
BRU,Yew Pin KONG,8.75,Men's Group F Other Traditional Taijiquan
CAN,Rex Kit Ming LAU,8.74,Men's Group F Other Traditional Taijiquan
BRU,Chung Heng WOO,8.74,Men's Group F Other Traditional Taijiquan
BRU,Yun Chong LEONG,8.71,Men's Group F Other Traditional Taijiquan
USA,Richard C JONES,,Men's Group F Other Traditional Taijiquan
CHN,Zhen Chang YUAN,9.06,Men's Group F Other Traditional Weapon
HKG,Chi Man TAM,8.95,Men's Group F Other Traditional Weapon
BRA,Jose Carlos BARBOSA,8.93,Men's Group F Other Traditional Weapon
HUN,Gabor KARDOS,8.76,Men's Group F Other Traditional Weapon
HKG,Yun Cheung SIN,8.75,Men's Group F Other Traditional Weapon
USA,John JOSEPHSON,8.66,Men's Group F Other Traditional Weapon
PER,Oscar Gonzalo LENGUA PEREZ,,Men's Group F Other Traditional Weapon
KGZ,Evgenii LOPATKIN,,Men's Group F Other Traditional Weapon
KGZ,Oleg SEMAEV,,Men's Group F Other Traditional Weapon
CHN,Zhen Chang YUAN,9.05,Men's Group F Other Types of Traditional Styles
BRA,Jose Carlos BARBOSA,8.86,Men's Group F Other Types of Traditional Styles
HKG,Kam Cheong TING,8.82,Men's Group F Other Types of Traditional Styles
HKG,Yun Cheung SIN,8.81,Men's Group F Other Types of Traditional Styles
USA,Simon XIAO,8.77,Men's Group F Other Types of Traditional Styles
USA,John JOSEPHSON,8.7,Men's Group F Other Types of Traditional Styles
USA,Wei SUN,8.51,Men's Group F Other Types of Traditional Styles
PER,Oscar Gonzalo LENGUA PEREZ,,Men's Group F Other Types of Traditional Styles
KGZ,Evgenii LOPATKIN,,Men's Group F Other Types of Traditional Styles
KGZ,Oleg SEMAEV,,Men's Group F Other Types of Traditional Styles
NZL,Peter Raymond GORDON,8.98,Men's Group F Traditional Yang Style Taijiquan
ESP,Eloy Alberto NINO ORTEGA,8.83,Men's Group F Traditional Yang Style Taijiquan
HKG,Ka Keung LAM,8.77,Men's Group F Traditional Yang Style Taijiquan
HUN,Gabor KARDOS,8.76,Men's Group F Traditional Yang Style Taijiquan
CAN,Pang Chu NG,8.75,Men's Group F Traditional Yang Style Taijiquan
CAN,Harry Siu Pak WOO,8.74,Men's Group F Traditional Yang Style Taijiquan
AUS,Thomas Wing Chung LAM,8.73,Men's Group F Traditional Yang Style Taijiquan
HKG,King Yuen LAU,8.72,Men's Group F Traditional Yang Style Taijiquan
AUS,Andy NG,8.7,Men's Group F Traditional Yang Style Taijiquan
HKG,Ping Lin Raymond NG,,Men's Group F Traditional Yang Style Taijiquan
CAN,Pang Chu NG,8.88,Men's Group F Yang Style Taiji Weapon
NZL,Peter Raymond GORDON,8.86,Men's Group F Yang Style Taiji Weapon
ESP,Eloy Alberto NINO ORTEGA,8.83,Men's Group F Yang Style Taiji Weapon
MAC,Wa Chio MA,8.81,Men's Group F Yang Style Taiji Weapon
AUS,Thomas Wing Chung LAM,8.72,Men's Group F Yang Style Taiji Weapon
CAN,Andy Lee Chiu CHUNG,8.68,Men's Group F Yang Style Taiji Weapon
CAN,Kevin Anthony WILLIAMS,8.64,Men's Group F Yang Style Taiji Weapon
AUS,Andy NG,8.63,Men's Group F Yang Style Taiji Weapon
CAN,Chung To NG,8.62,Men's Group F Yang Style Taiji Weapon
CAN,Harry Siu Pak WOO,8.59,Men's Group F Yang Style Taiji Weapon
HKG,King Yuen LAU,8.55,Men's Group F Yang Style Taiji Weapon
HKG,Ping Lin Raymond NG,,Men's Group F Yang Style Taiji Weapon
CAN,Andy Lee Chiu CHUNG,8.85,Men's roup raditional u Hao) tyle aijiquan
CAN,Lam TIN YAN,8.8,Men's roup raditional u Hao) tyle aijiquan
CAN,Weston David BENJAMIN,8.79,Men's roup raditional u Hao) tyle aijiquan
CAN,Chung To NG,8.78,Men's roup raditional u Hao) tyle aijiquan
CAN,Kevin Anthony WILLIAMS,8.71,Men's roup raditional u Hao) tyle aijiquan
CAN,Philip Wai-ling LAI,,Men's roup raditional u Hao) tyle aijiquan
USA,Sophie CHAI,8.24,Women's Group A Other Types of Traditional Styles
GEO,Sopiko APKHAZAVA,8.56,Women's Group B Cha Quan
TPE,Wei Tung LIN,8.53,Women's Group B Cha Quan
TUR,Ayse Sude AKYUZ,8.52,Women's Group B Cha Quan
USA,Michelle HUANG,8.49,Women's Group B Cha Quan
NZL,Eliza Grace ZHAN,8.42,Women's Group B Cha Quan
FRA,Claudia METZMACHER,8.37,Women's Group B Cha Quan
USA,Priscilla ZOU,8.36,Women's Group B Cha Quan
USA,Nyah GONSALVES,8.29,Women's Group B Cha Quan
USA,Therese TSANG,,Women's Group B Cha Quan
TUR,Ayse Sude AKYUZ,8.48,Women's Group B Other Traditional Weapon
GEO,Sopiko APKHAZAVA,8.42,Women's Group B Other Traditional Weapon
USA,Jocelyn CHI,8.41,Women's Group B Other Traditional Weapon
TPE,Chien En HUANG,8.4,Women's Group B Other Traditional Weapon
USA,Michelle HUANG,8.38,Women's Group B Other Traditional Weapon
TPE,Yi Hsin CHANG,8.38,Women's Group B Other Traditional Weapon
TPE,Wei Tung LIN,8.37,Women's Group B Other Traditional Weapon
USA,Elaine WANG,8.34,Women's Group B Other Traditional Weapon
USA,Priscilla ZOU,8.31,Women's Group B Other Traditional Weapon
NZL,Eliza Grace ZHAN,8.28,Women's Group B Other Traditional Weapon
USA,Meiling HOU,8.28,Women's Group B Other Traditional Weapon
MAS,Qi En LIM,8.28,Women's Group B Other Traditional Weapon
GER,Anastasia MERTEN,8.28,Women's Group B Other Traditional Weapon
NZL,Emily Jenny ZHAN,8.28,Women's Group B Other Traditional Weapon
MAS,Ziqi FOONG,8.28,Women's Group B Other Traditional Weapon
USA,Emma CHAI,8.26,Women's Group B Other Traditional Weapon
TJK,Zamira ABDULOJONOVA,8.24,Women's Group B Other Traditional Weapon
USA,Sherry YU,8.2,Women's Group B Other Traditional Weapon
USA,Joanna LIU,8.2,Women's Group B Other Traditional Weapon
FRA,Claudia METZMACHER,8.18,Women's Group B Other Traditional Weapon
TJK,Shukronakhon BOBOJONOVA,,Women's Group B Other Traditional Weapon
USA,Therese TSANG,,Women's Group B Other Traditional Weapon
TPE,Yi Hsin CHANG,8.49,Women's Group B Other Types of Traditional Styles
USA,Elaine WANG,8.48,Women's Group B Other Types of Traditional Styles
GER,Anastasia MERTEN,8.35,Women's Group B Other Types of Traditional Styles
NZL,Emily Jenny ZHAN,8.34,Women's Group B Other Types of Traditional Styles
USA,Meiling HOU,8.32,Women's Group B Other Types of Traditional Styles
MAS,Qi En LIM,8.32,Women's Group B Other Types of Traditional Styles
TPE,Chien En HUANG,8.32,Women's Group B Other Types of Traditional Styles
MAS,Ziqi FOONG,8.31,Women's Group B Other Types of Traditional Styles
USA,Emma CHAI,8.3,Women's Group B Other Types of Traditional Styles
USA,Joanna LIU,8.29,Women's Group B Other Types of Traditional Styles
USA,Sherry YU,8.24,Women's Group B Other Types of Traditional Styles
AUS,Mia LIN,8.22,Women's Group B Other Types of Traditional Styles
USA,Jocelyn CHI,8.21,Women's Group B Other Types of Traditional Styles
TJK,Zamira ABDULOJONOVA,8.21,Women's Group B Other Types of Traditional Styles
TJK,Shukronakhon BOBOJONOVA,,Women's Group B Other Types of Traditional Styles
