Rank	Bib	Athlete	NOC	Total				
	04366	XIAN Daniel Haocheng	USA	(DNS)		. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
	02411	TELESSINOV Arman	KAZ	(DNS)		. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
1	02103	ARUTYUNJAN Aurora	HUN	8.46	1ST Prize	. Women's Shaolinquan-Group B	Wushu Taolu	Emeishan
2	01307	KARMEN ADEL Rashad Khater	EGY	8.38	2ND Prize	. Women's Shaolinquan-Group B	Wushu Taolu	Emeishan
3	00631	SILVA CONCEICAO Lorena	BRA	8.37	3RD Prize	. Women's Shaolinquan-Group B	Wushu Taolu	Emeishan
4	02412	TRAIZE Arina	KAZ	8.34	3RD Prize	. Women's Shaolinquan-Group B	Wushu Taolu	Emeishan
5	02805	ARAUZ NIEVES Luciana	MEX	8.22		. Women's Shaolinquan-Group B	Wushu Taolu	Emeishan
1	00108	SCHUR CHEN Annie	FRA	8.7	1ST Prize	. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
2	02023	WU Kai Yee	HKG	8.69	1ST Prize	. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
3	04312	DING Sabrina	USA	8.57	1ST Prize	. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
4	04333	LI Winifred Zhen Ping	USA	8.55	2ND Prize	. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
5	00619	MATOS RODRIGUES Ana Carla	BRA	8.55	2ND Prize	. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
6	04712	LIM Verna	MYS	8.52	2ND Prize	. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
7	04702	CHONG Shin Yu	MYS	8.47	3RD Prize	. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
8	04348	SHEN Caitlyn	USA	8.47	3RD Prize	. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
9	00632	SILVA VIANA Layla Ketelen	BRA	8.46	3RD Prize	. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
10	04320	HAO Cindy Yuan	USA	8.44	3RD Prize	. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
11	00506	HUANACUNI PINEDO Pakari Nayra	BOL	8.41		. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
12	04713	SYAIDHA Hajarah	MYS	8.38		. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
13	02101	ARUTYUNJAN Adelaida	HUN	8.35		. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
	04319	GORDON Ayla Nunnehi	USA	(DNS)		. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
	04902	CHANDRASEKARA JAYARATHNA MUDIYANSELAGE Gimhani Akarshana Bogollagama	LKA	(DNS)		. Women's Other Barehand Routines-Group A/B	Wushu Taolu	Emeishan
1	05108	LAM Weng San	MAC	8.66	1ST Prize	. Women's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
2	04105	ALTUN Sude Merve	TUR	8.64	2ND Prize	. Women's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
3	03310	LEOW Le Yi Edda	SGP	8.64	2ND Prize	. Women's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
4	01921	MICHOU Despoina	GRC	8.61	3RD Prize	. Women's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
5	03802	AVAGYAN Siranush	ARM	8.6	3RD Prize	. Women's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
6	01935	TOUROUTSIKA Christina	GRC	8.6	3RD Prize	. Women's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
7	04324	HUANG Emma Mei	USA	8.59		. Women's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
8	03002	BANCOS Ema Alexandra	ROU	8.57		. Women's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
9	03302	CHEN Haoran	SGP	8.53		. Women's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
10	04923	WIJESUNDARA MUDIYANSELAGE Matheesha Gimhani Wijesundara	LKA	8.5		. Women's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
1	05109	LEONG Wai Lam	MAC	8.61	1ST Prize	. Women's Baguazhang-Group C	Wushu Taolu	Emeishan
2	02610	SPULE Estere Soﬁja	LVA	8.6	2ND Prize	. Women's Baguazhang-Group C	Wushu Taolu	Emeishan
3	04201	CHUKANOVA Kristina	UKR	8.58	3RD Prize	. Women's Baguazhang-Group C	Wushu Taolu	Emeishan
4	04326	HUANG Sophie Qianshu	USA	8.49	3RD Prize	. Women's Baguazhang-Group C	Wushu Taolu	Emeishan
5	04370	ZHANG Ashley Youran	USA	8.4		. Women's Baguazhang-Group C	Wushu Taolu	Emeishan
6	04337	LY Kayla Caroling	USA	8.32		. Women's Baguazhang-Group C	Wushu Taolu	Emeishan
1	01310	MALAK MOHAMED Omar Montasser	EGY	8.87	1ST Prize	. Women's Bajiquan-Group C	Wushu Taolu	Emeishan
2	02601	BALASOVA Anﬁsa	LVA	8.76	2ND Prize	. Women's Bajiquan-Group C	Wushu Taolu	Emeishan
3	02819	MENA TORRES Michelle	MEX	8.68	2ND Prize	. Women's Bajiquan-Group C	Wushu Taolu	Emeishan
4	04506	KOGAN Erika	ISR	8.67	3RD Prize	. Women's Bajiquan-Group C	Wushu Taolu	Emeishan
5	04006	JRIBI Chourouk	TUN	8.6	3RD Prize	. Women's Bajiquan-Group C	Wushu Taolu	Emeishan
6	02802	AISPURO BRINGAS Marisol Guadalupe	MEX	8.55	3RD Prize	. Women's Bajiquan-Group C	Wushu Taolu	Emeishan
7	04920	SINHALA PELI GEDARA Tanisha Keshavi Nawangi Ranasingha	LKA	8.43		. Women's Bajiquan-Group C	Wushu Taolu	Emeishan
8	04903	DABUKA GEDARA Therani Nehara Thilakarathne	LKA	8.42		. Women's Bajiquan-Group C	Wushu Taolu	Emeishan
9	04916	KHUVINDAHANDI Shavindi Ayodhya De Silva	LKA	8.41		. Women's Bajiquan-Group C	Wushu Taolu	Emeishan
1	04358	WANG Joy Zy	USA	8.76	1ST Prize	. Women's Chaquan-Group C	Wushu Taolu	Emeishan
2	02013	LEE Hiu Ching	HKG	8.72	2ND Prize	. Women's Chaquan-Group C	Wushu Taolu	Emeishan
3	04107	COSKUN Ayse Sina	TUR	8.7	2ND Prize	. Women's Chaquan-Group C	Wushu Taolu	Emeishan
4	04503	FRENEKL Sasha	ISR	8.64	3RD Prize	. Women's Chaquan-Group C	Wushu Taolu	Emeishan
5	04514	ZIPOR Galia	ISR	8.64	3RD Prize	. Women's Chaquan-Group C	Wushu Taolu	Emeishan
6	01701	APKHAZAVA Sopiko	GEO	8.6	3RD Prize	. Women's Chaquan-Group C	Wushu Taolu	Emeishan
7	01702	ARZIANI Mariam	GEO	8.6	3RD Prize	. Women's Chaquan-Group C	Wushu Taolu	Emeishan
8	04368	YU Ellany	USA	8.58		. Women's Chaquan-Group C	Wushu Taolu	Emeishan
9	03025	VLADAREANU Gabriela	ROU	8.58		. Women's Chaquan-Group C	Wushu Taolu	Emeishan
10	04614	SONOWAL Kashyapi	IND	8.55		. Women's Chaquan-Group C	Wushu Taolu	Emeishan
11	02406	MAXUTOVA Zarina	KAZ	8.53		. Women's Chaquan-Group C	Wushu Taolu	Emeishan
12	04351	SILBERSTEIN Mia Jacquelyn	USA	8.47		. Women's Chaquan-Group C	Wushu Taolu	Emeishan
1	01931	SPYRIDOU Melina	GRC	8.67	1ST Prize	. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
2	04501	BERIY Michal	ISR	8.66	1ST Prize	. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
3	01510	MARRA Lara	ITA	8.65	2ND Prize	. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
4	04321	HAO Youyang	USA	8.63	2ND Prize	. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
5	05111	LOK Mai Cheng	MAC	8.61	2ND Prize	. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
6	02408	MUKHAMETOVA Aidana	KAZ	8.59	2ND Prize	. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
7	01906	FOTINOGIANNOPOULOU Konstantina	GRC	8.59	3RD Prize	. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
8	03520	VAN DER MESCHT Kitana Cora	ZAF	8.56	3RD Prize	. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
9	02102	ARUTYUNJAN Anna Maria	HUN	8.54	3RD Prize	. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
10	03507	FIETZE Mila Claryssa Esselen	ZAF	8.53	3RD Prize	. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
11	00709	Lilly May WRIGHT	GBR	8.53	3RD Prize	. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
12	01503	BASSI Giulia	ITA	8.52	3RD Prize	. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
13	00622	NADARIO FREITAS Maria Eduarda	BRA	8.47		. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
14	01201	FIALOVA Barbora	CZE	8.46		. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
15	01925	PANAGOPOULOY Kyriaki	GRC	8.43		. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
16	02310	SHIBATA Riin	JPN	8.43		. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
17	01309	MALAK IBRAHIM Abouelmaati Mohamed	EGY	8.35		. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
18	03517	MTSHALI Uthembekile	ZAF	8.33		. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
19	02309	SHIBATA Kanon	JPN	8.25		. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
20	01933	TAMPAKI Dimitra	GRC	8.24		. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
	04511	PUZIS Nikol	ISR	(DNS)		. Women's Shaolinquan-Group C	Wushu Taolu	Emeishan
1	04101	AKYUZ Ayse Sude	TUR	8.85	1ST Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
2	02022	WONG Man Ting	HKG	8.75	1ST Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
3	04707	JAZMIN Alag	MYS	8.64	1ST Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
4	04311	DING Catrina	USA	8.61	2ND Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
5	03018	NEDELEA Ana Maria	ROU	8.6	2ND Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
6	04711	LAM Xue Ying	MYS	8.56	2ND Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
7	02009	HUANG Susie	HKG	8.55	2ND Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
8	04336	LY Elva Elizabeth	USA	8.51	2ND Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
9	02110	LOBITZ Adel	HUN	8.51	3RD Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
10	01412	RABICO VIDEIRA Maria	PRT	8.51	3RD Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
11	01912	KOURTIDOU Ioanna Nefeli	GRC	8.5	3RD Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
12	04342	MO Emily Dongli	USA	8.49	3RD Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
13	01206	MASKOVA Anna	CZE	8.49	3RD Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
14	04374	ZHAO Hailey Hu	USA	8.49	3RD Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
15	04406	LUU Pham Thanh Thanh	VNM	8.47	3RD Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
16	04403	HOANG Vy Yen Nhi	VNM	8.47	3RD Prize	. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
17	04715	WONG Zhong Wei	MYS	8.47		. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
18	03006	DUMITRU Ana Maria	ROU	8.47		. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
19	01907	GEORGA Eleni Anna	GRC	8.45		. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
20	04339	MARCEL Daniela Mckenzie	USA	8.44		. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
21	04918	MEEGODA KANKANAMGE DON Dinari Sineli Meegoda	LKA	8.41		. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
22	03402	ČELEĎOVÁ Diana	SVK	8.4		. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
23	01318	RANCY HAMED Zaki Hamed	EGY	8.36		. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
24	04911	IMBULAPITIYE GEDARA Pramodya Sewmini Rathnayake	LKA	8.33		. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
25	01415	RODRIGUES CHARNECO Mariana	PRT	8.29		. Women's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
1	02010	KWAN Ning Wai	HKG	8.74	1ST Prize	. Women's Hongjiaquan (Hung Gar) -Group D	Wushu Taolu	Emeishan
2	03318	TAN Shi Xuan Esther	SGP	8.65	2ND Prize	. Women's Hongjiaquan (Hung Gar) -Group D	Wushu Taolu	Emeishan
3	03312	LOW Qiu Min Elicia	SGP	8.62	3RD Prize	. Women's Hongjiaquan (Hung Gar) -Group D	Wushu Taolu	Emeishan
4	02914	RYCHLEWSKA Emila Marta	POL	8.58	3RD Prize	. Women's Hongjiaquan (Hung Gar) -Group D	Wushu Taolu	Emeishan
5	01939	VATZAKA Christina	GRC	8.55		. Women's Hongjiaquan (Hung Gar) -Group D	Wushu Taolu	Emeishan
1	02014	LEE Wing Yung	HKG	8.73	1ST Prize	. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
2	03306	KALUARACHCHI Devni Chamodya	SGP	8.61	1ST Prize	. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
3	01515	SIRTO Elisabetta	ITA	8.59	2ND Prize	. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
4	02201	ALEXANDRA Dwi Putri	IDN	8.58	2ND Prize	. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
5	01901	BEKIARI Maria Ioanna	GRC	8.58	2ND Prize	. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
6	04217	ZAVIALOVA Svitlana	UKR	8.57	2ND Prize	. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
7	01403	BENCINI CRUZ Silvia	PRT	8.57	3RD Prize	. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
8	04405	LE Tran Bao Tran	VNM	8.57	3RD Prize	. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
9	03309	LEE Sze Min Josephine	SGP	8.57	3RD Prize	. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
10	01914	LAMPADA Maria	GRC	8.56	3RD Prize	. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
11	01929	PAPAGEORGOPOULOU Marina	GRC	8.55	3RD Prize	. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
12	03321	TAN Wei Qing Regina	SGP	8.53	3RD Prize	. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
13	03015	MICU Lorena Eliana	ROU	8.53		. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
14	02902	CIECHANOWSKA Magdalena Katarzyna	POL	8.52		. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
15	04607	KAUR Karamjit	IND	8.5		. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
16	01917	LIONTOU Ioanna	GRC	8.5		. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
17	02915	SKORUPA Agnieszka Barbara	POL	8.49		. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
18	03114	VILLALONGA SEBASTIA Elena	ESP	8.45		. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
19	04608	PODAKANTI Pavithra Chary	IND	8.45		. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
	00310	TEMIME Kahina	DZA	(DNS)		. Women's Other Southern Routines-Group D	Wushu Taolu	Emeishan
1	00913	JING Xuecai	CHN	8.71	1ST Prize	. Men's Gun (Cudgel/Staﬀ)- Group E	Wushu Taolu	Emeishan
2	04512	PUZIS Rami	ISR	8.54	2ND Prize	. Men's Gun (Cudgel/Staﬀ)- Group E	Wushu Taolu	Emeishan
3	00912	JIA Meng	CHN	8.51	3RD Prize	. Men's Gun (Cudgel/Staﬀ)- Group E	Wushu Taolu	Emeishan
4	02302	FUKUNISHI Tadashi	JPN	8.48	3RD Prize	. Men's Gun (Cudgel/Staﬀ)- Group E	Wushu Taolu	Emeishan
5	00504	HUANACUNI MAMANI Fernando	BOL	8.48		. Men's Gun (Cudgel/Staﬀ)- Group E	Wushu Taolu	Emeishan
6	03518	SMOOK Christiaan Harold	ZAF	8.46		. Men's Gun (Cudgel/Staﬀ)- Group E	Wushu Taolu	Emeishan
7	01302	ALKELANY Farouk Alkelany	EGY	8.41		. Men's Gun (Cudgel/Staﬀ)- Group E	Wushu Taolu	Emeishan
	03012	IOANA Florin	ROU	(DNS)		. Men's Gun (Cudgel/Staﬀ)- Group E	Wushu Taolu	Emeishan
	02402	BEIBALAYEV Artyom	KAZ	(DNS)		. Men's Gun (Cudgel/Staﬀ)- Group E	Wushu Taolu	Emeishan
	03202	Mamadou FALL	SEN	(DNS)		. Men's Gun (Cudgel/Staﬀ)- Group E	Wushu Taolu	Emeishan
1	04202	FESCHENKO Daniil	UKR	8.67	1ST Prize	. Men's Other Soft-Weapon -Group D/E/F	Wushu Taolu	Emeishan
2	02008	HO Yin Ching	HKG	8.64	1ST Prize	. Men's Other Soft-Weapon -Group D/E/F	Wushu Taolu	Emeishan
3	03324	TEO Chee Wei	SGP	8.62	2ND Prize	. Men's Other Soft-Weapon -Group D/E/F	Wushu Taolu	Emeishan
4	03026	ZAMOLO Giuliano Isa	ROU	8.58	2ND Prize	. Men's Other Soft-Weapon -Group D/E/F	Wushu Taolu	Emeishan
5	03108	MORALES GARCIA Jose Luis	ESP	8.57	3RD Prize	. Men's Other Soft-Weapon -Group D/E/F	Wushu Taolu	Emeishan
6	03103	GALLARDO GONZALO Ivan	ESP	8.55	3RD Prize	. Men's Other Soft-Weapon -Group D/E/F	Wushu Taolu	Emeishan
7	04347	SHEN Aspen Ziyang	USA	8.53	3RD Prize	. Men's Other Soft-Weapon -Group D/E/F	Wushu Taolu	Emeishan
8	04328	KEYS Aaron Jamaal	USA	8.51		. Men's Other Soft-Weapon -Group D/E/F	Wushu Taolu	Emeishan
9	00628	RODRIGUES DOS REIS Pedro Henrique	BRA	8.5		. Men's Other Soft-Weapon -Group D/E/F	Wushu Taolu	Emeishan
10	02510	WU Shao Jie	AUS	8.4		. Men's Other Soft-Weapon -Group D/E/F	Wushu Taolu	Emeishan
11	01937	TSIKRIKAS Konstantinos	GRC	8.37		. Men's Other Soft-Weapon -Group D/E/F	Wushu Taolu	Emeishan
	00303	ARAB Nadir	DZA	(DNS)		. Men's Other Soft-Weapon -Group D/E/F	Wushu Taolu	Emeishan
1	03308	KWAN Siew Hung	SGP	8.74	1ST Prize	. Men's Other Single-Weapon Routines- Group F	Wushu Taolu	Emeishan
2	02308	OTAKA Kazuhiko	JPN	8.72	2ND Prize	. Men's Other Single-Weapon Routines- Group F	Wushu Taolu	Emeishan
3	00905	CHEN Zuobin	CHN	8.64	3RD Prize	. Men's Other Single-Weapon Routines- Group F	Wushu Taolu	Emeishan
4	03314	MOHAMMED Ahmad Faizal	SGP	8.57	3RD Prize	. Men's Other Single-Weapon Routines- Group F	Wushu Taolu	Emeishan
5	03902	LOPATKIN Evgenii	KGZ	8.57		. Men's Other Single-Weapon Routines- Group F	Wushu Taolu	Emeishan
6	02108	KARDOS Gabor	HUN	8.5		. Men's Other Single-Weapon Routines- Group F	Wushu Taolu	Emeishan
7	03508	HACKNER Allan Jonathan	ZAF	8.48		. Men's Other Single-Weapon Routines- Group F	Wushu Taolu	Emeishan
1	04219	ZHYVOTOK Heorhii	UKR	8.64	1ST Prize	. Men's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
2	03903	MURATBEK UULU Edil	KGZ	8.62	2ND Prize	. Men's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
3	04203	HASHCHUK Artem	UKR	8.61	2ND Prize	. Men's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
4	03326	YAP Wei Sheng Wilson	SGP	8.6	3RD Prize	. Men's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
5	03403	HATALA Patrik	SVK	8.59	3RD Prize	. Men's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
6	04604	ESWAL Abhijeet	IND	8.54		. Men's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
7	02105	BALOGH Barnabas	HUN	8.53		. Men's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
8	04802	LIM Giovanni Moses	PHL	8.52		. Men's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
	05302	MOHAMMED Mugahed Mohammed Hussein	YEM	(DNS)		. Men's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
	05301	LWZA Bassam Ahmed Ali Rezq	YEM	(DNS)		. Men's Other Single-Weapon Routines-Group D	Wushu Taolu	Emeishan
1	04409	PHAM Nguyen Hoang Phuc	VNM	8.7	1ST Prize	. Men's Nangun (Southern Staﬀ/Cudgel)-Group D	Wushu Taolu	Emeishan
2	04108	KAMA Muhammet Can	TUR	8.63	2ND Prize	. Men's Nangun (Southern Staﬀ/Cudgel)-Group D	Wushu Taolu	Emeishan
3	01708	MAMEDOVI Rauli	GEO	8.59	2ND Prize	. Men's Nangun (Southern Staﬀ/Cudgel)-Group D	Wushu Taolu	Emeishan
4	01922	NISIOTIS Nikolaos	GRC	8.58	3RD Prize	. Men's Nangun (Southern Staﬀ/Cudgel)-Group D	Wushu Taolu	Emeishan
5	02910	MAŚNICKI Konrad	POL	8.57	3RD Prize	. Men's Nangun (Southern Staﬀ/Cudgel)-Group D	Wushu Taolu	Emeishan
6	01517	TESTARDINI Matteo	ITA	8.56		. Men's Nangun (Southern Staﬀ/Cudgel)-Group D	Wushu Taolu	Emeishan
7	05007	VALIEV Ilyoskhon	TJK	8.53		. Men's Nangun (Southern Staﬀ/Cudgel)-Group D	Wushu Taolu	Emeishan
8	05005	NURMATOV Sherzod	TJK	8.39		. Men's Nangun (Southern Staﬀ/Cudgel)-Group D	Wushu Taolu	Emeishan
1	00935	ZHAO Chuanhui	CHN	8.63	1ST Prize	. Men's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
2	03111	RAJA CATALA Vicente	ESP	8.62	2ND Prize	. Men's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
3	00617	LEUTZ Richard	BRA	8.59	3RD Prize	. Men's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
4	00605	DA ROSA Carlos Alberto	BRA	8.54	3RD Prize	. Men's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
5	02005	CHEUNG Wing Kit	HKG	8.53		. Men's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
6	03101	CARRETERO MEDIAVILLA Jose	ESP	8.52		. Men's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
7	04922	WEERASINGHE Jagath Kumara	LKA	8.45		. Men's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
	00936	ZHENG Wu	CHN	(DNS)		. Men's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
	04917	LORENSU HEWAGE Nuwan Sanjeewa	LKA	(DNS)		. Men's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
	03907	SEMAEV Oleg	KGZ	(DNS)		. Men's Other Double-Weapon Routines-Group E/F	Wushu Taolu	Emeishan
1	03317	SEAH Jun Xiang Dylan	SGP	8.7	1ST Prize	. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
2	02018	LI Hao	HKG	8.63	1ST Prize	. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
3	04362	WONG Kaden Dan	USA	8.62	1ST Prize	. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
4	03319	TAN En Jie	SGP	8.58	1ST Prize	. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
5	01511	MURENU Matteo	ITA	8.57	2ND Prize	. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
6	04372	ZHANG Donghe	USA	8.55	2ND Prize	. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
7	01301	ADAM AYMAN Morsi Aboelabbas	EGY	8.53	2ND Prize	. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
8	04363	WONG Kadyn	USA	8.47	2ND Prize	. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
9	01320	ZIAD AHMED Samy Mohamed	EGY	8.47	3RD Prize	. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
10	01306	JOHN SAAD Amoun Mocus	EGY	8.47	3RD Prize	. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
11	04914	JAYASUNDARA Pemitha Randes	LKA	8.36	3RD Prize	. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
12	01806	KAMPS Darius	DEU	8.31	3RD Prize	. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
13	03007	GRAD George Raul	ROU	8.2	3RD Prize	. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
14	01003	YING Ruoxiang	CAN	8.14	3RD Prize	. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
15	04915	KARUNANAYAKA MUDIYANSELAGE Anuja Chamod	LKA	8.12		. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
16	04907	GAJANAYAKA MUDALIGE Lakidu Himsara Gajanayaka	LKA	8.1		. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
17	03023	ROGOVEANU David	ROU	8.06		. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
18	03022	ROGOVEANU Dario	ROU	7.92		. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
19	04407	NGUYEN Khac Le Hoang	VNM	7.65		. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
	00309	TEMIME Yazid	DZA	(DNS)		. Men's other Taijiquan Routines- Group B/C	Wushu Taolu	Emeishan
1	00937	ZHENG Zhichao	CHN	8.9	1ST Prize	. Men's Yang Style -Group D	Wushu Taolu	Emeishan
2	02017	LEUNG Yat Sing	HKG	8.69	2ND Prize	. Men's Yang Style -Group D	Wushu Taolu	Emeishan
3	02203	LOEIS Erick Citra	IDN	8.67	3RD Prize	. Men's Yang Style -Group D	Wushu Taolu	Emeishan
4	04913	JAYASEKARA MUDALIGE Hirusha Madushanka Jayasekara	LKA	8.51	3RD Prize	. Men's Yang Style -Group D	Wushu Taolu	Emeishan
5	01203	HOREJS Milan	CZE	8.5		. Men's Yang Style -Group D	Wushu Taolu	Emeishan
6	00635	ZANINI Caio	BRA	8.41		. Men's Yang Style -Group D	Wushu Taolu	Emeishan
